Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Taiwan Semiconductor Manufacturing,TAIWAN SEMICON.MNFG.,TW:TSM,1994/9/6,140406,T2330,TW0002330008
Taiwan Mobile,TAIWAN MOBILE,TW:TCE,2000/9/19,264789,T3045,TW0003045001
Taiwan Artcci,TAIWAN ARTCCI,TW:WAC,2016/5/16,7404ZP,T8479,TW0008479007
Taiwan Cooperative Financial Holding,TAIWAN COOP.FINL.HLDG.,TW:TBC,2004/11/17,29689J,T5880,TW0005880009
Syneurx International (Taiwan),SYNEURX INTERNATIONAL (TAIWAN),TW:SNU,2016/1/29,8866EW,T6575,TW0006575004
Taiwan Cement,TAIWAN CEMENT,TW:TCM,1987/9/9,756125,T1101,TW0001101004
Taiwan Environmental Scientific,TAIWAN ENV.SCIEN.,TW:EVS,2015/7/6,9748XG,T8476,TW0008476003
Taiwan High Speed Rail,TAIWAN HIGH SPEED RAIL,TW:THZ,2003/9/8,30384F,T2633,TW0002633005
Taiwan Leader Biotechnology,TAIWAN LEADER BIOTECH,TW:LDB,2016/1/14,8839TW,T8490,TW0008490004
Taiwan Name Plate,TAIWAN NAME PLATE,TW:TPL,2016/9/29,2605HU,T6593,TW0006593007
Taiwan Steel Union,TAIWAN STEEL UNION,TW:TSU,2016/9/9,2566EC,T6581,TW0006581002
Taiwan Biomaterial,TAIWAN BIOMATERIAL,TW:TB1,2017/8/29,9128PW,T6649,TW0006649007
Taiwan Business Bank,TAIWAN BUSINESS BANK,TW:TWB,1998/1/5,879381,T2834,TW0002834009
Taiwan Glass Industry,TAIWAN GLASS IND.,TW:TGL,1987/9/8,756126,T1802,TW0001802007
Taiwan Semiconductor,TAIWAN SEMICONDUCTOR,TW:TCY,2000/2/21,280263,T5425,TW0005425003
ABC Taiwan Electronics,ABC TAIWAN ELECTRONICS,TW:ATB,2004/12/2,29740V,T3236,TW0003236006
Abnova (Taiwan),ABNOVA (TAIWAN),TW:ABN,2009/12/28,53812P,T4133,TW0004133004
CSBC Taiwan,CSBC TAIWAN,TW:CAN,2008/12/22,54472K,T2208,TW0002208006
Deltamac (Taiwan),DELTAMAC (TAIWAN),TW:DTC,2002/1/23,15130Q,T6144,TW0006144009
Dimerco Express (Taiwan),DIMERCO EXPRESS (TAIWAN),TW:DEC,2001/10/15,14691R,T5609,TW0005609002
Laser Tek Taiwan,LASER TEK TAIWAN,TW:LTT,2002/12/23,26630R,T6207,TW0006207004
Polylite Taiwan,POLYLITE TAIWAN,TW:PLY,2009/8/4,51595H,T1813,TW0001813004
Scinopharm Taiwan,SCINOPHARM TAIWAN,TW:SPZ,2010/10/29,756989,T1789,TW0001789006
Taiwan Acceptance,TAIWAN ACCEPTANCE,TW:TWT,1999/12/6,280065,T9941,TW0009941005
Taiwan Advert Bio-Pharmaceutical,TAIWAN AD.BIO-PHARM.,TW:TDV,2012/11/27,87883R,T4186,TW0004186002
Taiwan Allied Container Terminal,TAIWAN ALLIED CTNR.TERM.,TW:TCT,1996/1/4,887846,T5601,TW0005601009
Taiwan Alpha Electronic,TAIWAN ALPHA ELT.,TW:TIP,2002/11/13,26499H,T6204,TW0006204001
Taiwan Aries,TAIWAN ARIES,TW:TAR,2002/4/22,15427N,T6171,TW0006171002
Taiwan Calsonic,TAIWAN CALSONIC,TW:TWC,1999/11/22,691957,T4523,TW0004523006
Taiwan Chelic,TAIWAN CHELIC,TW:TWH,2014/9/18,9109N2,T4555,TW0004555008
Taiwan Chinsan Electronic Industrial,TAIWAN CHINSAN ELT.INDL.,TW:THE,2004/3/22,28693Q,T8042,TW0008042003
Taiwan Cogeneration,TAIWAN COGENERATION,TW:TWP,2000/5/8,280466,T8926,TW0008926007
Taiwan Familymart,TAIWAN FAMILYMART,TW:FMC,2002/2/25,15224H,T5903,TW0005903009
Taiwan Fertilizer,TAIWAN FERTILIZER,TW:TIF,1998/3/24,675291,T1722,TW0001722007
Taiwan Fire and Marine Insurance,TAIWAN FIRE & MARINE IN.,TW:TFM,1997/9/30,896228,T2832,TW0002832003
Taiwan Fructose,TAIWAN FRUCTOSE,TW:TFC,2000/1/21,280203,T4207,TW0004207006
Taiwan Fu Hsing Industrial,TAIWAN FU HSING INDL.,TW:TFH,1995/3/17,141030,T9924,TW0009924001
Taiwan Hon Chuan Enterprise,TAIWAN HON CHUAN ENTER.,TW:THO,2001/3/2,256947,T9939,TW0009939009
Taiwan Hopax Chemicals Manufacturing,TAIWAN HOPAX CHEMS.MNFG.,TW:TOC,2004/4/12,28822V,T6509,TW0006509003
Taiwan IC Packaging,TAIWAN IC PACKAGING,TW:TIK,2005/12/16,30866T,T3372,TW0003372009
Taiwan Kong King,TAIWAN KONG KING,TW:TKK,2005/6/17,31117C,T3093,TW0003093001
Taiwan Land Development,TAIWAN LAND DEVELOPMENT,TW:TDT,1999/1/8,675685,T2841,TW0002841004
Taiwan Line Tek Electronic,TAIWAN LINE TEK ELT.,TW:TLE,1996/1/4,887813,T2462,TW0002462009
Taiwan Liposome,TAIWAN LIPOSOME,TW:LPP,2011/10/24,77847P,T4152,TW0004152004
Taiwan Mask,TAIWAN MASK,TW:TMS,1995/4/26,141094,T2338,TW0002338001
Taiwan Navigation,TAIWAN NAVIGATION,TW:TNA,1998/6/24,675535,T2617,TW0002617008
Taiwan Optical Platform,TAIWAN OPTICAL PLATFORM,TW:TOL,2014/7/25,8946PZ,T6464,TW0006464001
Taiwan Ostor,TAIWAN OSTOR,TW:TOS,2004/5/10,28922V,T8080,TW0008080003
Taiwan Paiho,TAIWAN PAIHO,TW:TPA,2001/1/12,13261X,T9938,TW0009938001
Taiwan PCB Techvest,TAIWAN PCB TECHVEST,TW:PCT,2009/12/25,30743P,T8213,TW0008213000
Taiwan Pelican Express,TAIWAN PELICAN EXPRESS,TW:PXP,2012/12/26,87965U,T2642,TW0002642006
Taiwan Prosperity Chemical,TAIWAN PROSPERITY CHM.,TW:TNP,2007/10/2,41227U,T4725,TW0004725007
Taiwan Pulp and Paper,TAIWAN PULP & PAPR.,TW:TPP,1987/9/8,756128,T1902,TW0001902005
Taiwan Sakura,TAIWAN SAKURA,TW:TSC,1992/7/16,315811,T9911,TW0009911008
Taiwan Sanyo Electric,TAIWAN SANYO ELECTRIC,TW:SET,1996/1/4,887814,T1614,TW0001614006
Taiwan Secom,TAIWAN SECOM,TW:TAS,1993/12/8,356847,T9917,TW0009917005
Taiwan Shin Kong Security,TAIWAN SHIN KONG SCTY.,TW:TSS,1995/12/11,865382,T9925,TW0009925008
Taiwan Surface Mounting Technology,TAIWAN SURFACE MUG.TECH.,TW:TMN,2004/3/12,28603H,T6278,TW0006278005
Taiwan Taffeta Fabric,TAIWAN TAFFETA FABRIC,TW:TTR,1993/5/12,317190,T1454,TW0001454007
Taiwan Takisawa Technology,TAIWAN TAKISAWA TECH.,TW:TSW,2003/9/23,27624J,T6609,TW0006609001
Taiwan Taxi,TAIWAN TAXI,TW:TTO,2011/7/25,774630,T2640,TW0002640000
Taiwan Tea,TAIWAN TEA,TW:TAF,1987/9/8,756124,T2913,TW0002913001
Taiwan Television Enterprise,TAIWAN TELEVISION ENTER.,TW:TWE,2007/9/6,51442L,T8329,TW0008329004
Taiwan Union Technology,TAIWAN UNION TECHNOLOGY,TW:TUT,2003/12/18,28232P,T6274,TW0006274004
Taiwan Wax,TAIWAN WAX,TW:TWX,2004/5/14,28911J,T1742,TW0001742005
Zimmite Taiwan,ZIMMITE TAIWAN,TW:ZMM,2011/12/16,86547U,T8435,TW0008435009
PAL Wonn (Taiwan),PAL WONN (TAIWAN),TW:QUE,1999/4/6,691360,T2429,TW0002429008
Taiwan Benefit,TAIWAN BENEFIT,TW:TBE,2004/9/13,30743D,T3379,TW0003379004
Taiwan Chi Cheng Enterprise,TAIWAN CHI CHENG ENTER.,TW:IES,2005/5/26,30943K,T3095,TW0003095006
Taiwan Oasis Technology,TAIWAN OASIS TECHNOLOGY,TW:TAO,2004/12/2,29769M,T3066,TW0003066007
Taiwan Taomee,TAIWAN TAOMEE,TW:TTL,2013/9/11,86918G,T6428,TW0006428006
Taiwan Thick-Film Industry,TAIWAN THICK-FILM IND.,TW:TTF,2003/6/18,27152H,T6246,TW0006246002
Union Bank of Taiwan,UNION BANK OF TAIWAN,TW:UBT,1996/1/4,887854,T2838,TW0002838000
Taiwan Styrene Monomer,TW.STYRENE MONOMER,TW:STY,1989/7/3,777141,T1310,TW0001310001
Charoen Pokphand Enterprise (Taiwan),CHAROEN PKPH.ENTER.(TW.),TW:CPO,1989/7/3,772076,T1215,TW0001215002
Hon Hai Precision Industry,HON HAI PRECN.IND.,TW:HON,1991/6/18,314129,T2317,TW0002317005
Formosa Petrochemical,FORMOSA PETROCHEMICAL,TW:FPC,2003/12/26,28258H,T6505,TW0006505001
Chunghwa Telecom,CHUNGHWA TELECOM,TW:CHG,2000/10/30,269528,T2412,TW0002412004
Largan Precision,LARGAN PRECISION,TW:LPC,2002/3/11,15284R,T3008,TW0003008009
Cathay Financial Holding,CATHAY FINL.HLDG.,TW:CFC,1988/7/13,772053,T2882,TW0002882008
Formosa Plastics,FORMOSA PLASTICS,TW:FPL,1987/9/8,756116,T1301,TW0001301000
Nan Ya Plastics,NAN YA PLASTICS,TW:NYP,1987/9/8,756122,T1303,TW0001303006
Formosa Chemicals and Fibre,FORMOSA CHEMS.& FIBRE,TW:FOR,1987/9/8,756115,T1326,TW0001326007
Fubon Financial Holding,FUBON FINL.HLDG.,TW:FUB,1993/10/28,317830,T2881,TW0002881000
Delta Electronics,DELTA ELECTRONICS,TW:DEL,1989/7/3,540323,T2308,TW0002308004
Mediatek,MEDIATEK,TW:MDT,2001/7/23,14357N,T2454,TW0002454006
Nien Made Enterprise,NIEN MADE ENTERPRISE,TW:NIE,2015/1/6,9268D1,T8464,TW0008464009
Alcorlink,ALCORLINK,TW:ALK,2017/4/28,9068M2,T6594,TW0006594005
Brinno,BRINNO,TW:BRN,2014/12/26,9239V6,T7402,TW0007402000
Calitech,CALITECH,TW:CEH,2015/5/25,9520DZ,T6532,TW0006532005
China Steel,CHINA STEEL,TW:CST,1987/9/9,756111,T2002,TW0002002003
Clientron,CLIENTRON,TW:NLC,2017/7/4,9111NM,T8119,TW0008119009
CTBC Financial Holding,CTBC FINL.HLDG.,TW:CHI,1991/12/23,315329,T2891,TW0002891009
Eirgenix,EIRGENIX,TW:EIR,2016/11/23,2735J7,T6589,TW0006589005
General Infc Solution GIS Holding,GENERAL INFC.SLN.GIS HLDG.,TW:SGH,2015/6/12,96602X,T6456,KYG3808R1011
Gomaji,GOMAJI,TW:GMJ,2015/1/14,9273ND,T8472,TW0008472002
