issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Sintek Photronic Corp,2002/9/2,2002/9/2,TWU00R018004,3049,3671,Sintek Photronic Corp,3,sinephotonic,3,Ushine Photonics,Ushine Photonics,USHINE PHOTONICS,TW:UPS,2009/10/22,69297F,T3678,TW0003678009
Intl Semiconductor Tech Ltd,2003/8/11,2003/8/11,,3063,3679,Intl Semiconductor Tech Ltd,2,insemiconduct,2,Win Semiconductors,Win Semiconductors,WIN SEMICONDUCTORS,TW:WSN,2009/10/6,68798F,T3105,TW0003105003
Depo Auto Parts Ind Co Ltd,2004/2/15,2004/2/15,TW0006605009,6605,3647,Depo Auto Parts Ind Co Ltd,2,depoautoparti,2,Depo Auto Participations Industry,Depo Auto Participations Industry,DEPO AUTO PARTS IND.,TW:DEP,2004/3/17,28624L,T6605,TW0006605009
St Shine Optical,2004/3/1,2004/3/1,TW0001565000,1565,3851,St Shine Optical,2,stshineoptic,3,Saint Shine Optical,Saint Shine Optical,ST SHINE OPTICAL,TW:SSL,2004/3/30,28747J,T1565,TW0001565000
Kisus Interconnect Tech Corp,2004/10/5,2004/10/5,TW0003189007,3189,3674,Kisus Interconnect Tech Corp,1,kisusinterconn,1,Kinsus Interconnect Technology,Kinsus Interconnect Technology,KINSUS INTCONN.TECH.,TW:KTT,2004/11/1,29548V,T3189,TW0003189007
Genius Electn Optical Co Ltd,2005/12/2,2005/12/2,TW0003406005,3406,3827,Genius Electn Optical Co Ltd,3,geniuselecto,3,Genius Electronic Optical,Genius Electronic Optical,GENIUS ELECTRONIC OPTC.,TW:GNO,2005/12/20,31192F,T3406,TW0003406005
Century Iron&Steel Industrial,2008/2/26,2008/2/26,TW0009958009,9958,3341,Century Iron&Steel Industrial,3,centuryirons,3,Century Iron and Steel Industrial,Century Iron and Steel Industrial,CENTURY IOSTL.INDUSTRIAL,TW:CIL,2008/3/12,51521N,T9958,TW0009958009
Array Networks Inc,2009/5/13,2009/5/13,TW0003664009,3664,7372,Array Networks Inc,3,aanetworks,3,Alpha Networks,Alpha Networks,ALPHA NETWORKS,TW:ANI,2004/12/20,29830F,T3380,TW0003380002
Taiwan Enterprise(Cayman)Co,2011/10/17,2010/1/28,KYG8661M1078,5906,2329,Taiwan Enterprise(Cayman)Co,1,taianenterpris,1,Tainan Enterprises,Tainan Enterprises,TAINAN ENTERPRISES,TW:TNE,1999/4/15,691412,T1473,TW0001473007
PCL Technologies Inc,2013/11/13,2013/3/26,KYG6956N1034,4977,3674,PCL Technologies Inc,2,ctechnologies,2,CVC Technologies,CVC Technologies,CVC TECHNOLOGIES,TW:CVC,2009/5/27,67705N,T4744,TW0004744008
Candmark Electroptics Co Ltd,2013/11/26,2013/6/7,TW0005259006,5259,3679,Candmark Electroptics Co Ltd,3,candrelectro,3,Chander Electronics,Chander Electronics,CHANDER ELECTRONICS,TW:CRL,2004/3/25,28724H,T8068,TW0008068008
Aerospace Industrial Dvlp Corp,2014/8/20,2014/4/7,,2634,3728,Aerospace Industrial Dvlp Corp,1,aerospacedvl,3,Aerospace Industrial Development,Aerospace Industrial Development,AEROSPACE INDV.,TW:AID,2014/8/25,9061NL,T2634,TW0002634003
Hou Hai Precision Industry Co,1991/6/18,1991/6/18,,HOUHAI,3559,Hou Hai Precision Industry Co,1,hohaiprecision,1,Hon Hai Precision Industry,Hon Hai Precision Industry,HON HAI PRECN.IND.,TW:HON,1991/6/18,314129,T2317,TW0002317005
Long Bon Construction Co Ltd,1992/9/26,1992/9/26,,2514,3575,Long Bon Construction Co Ltd,3,longconstruc,3,Le Young Construction,Le Young Construction,LE YOUNG CONSTRUCTION,TW:LYC,2008/6/24,67736E,T2599,TW0002599008
Sun Yad Plastic Co Ltd,1992/10/15,1992/10/15,,1316,3089,Sun Yad Plastic Co Ltd,3,nyaplastic,3,Nan Ya Plastics,Nan Ya Plastics,NAN YA PLASTICS,TW:NYP,1987/9/8,756122,T1303,TW0001303006
