issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,same Ticker,same date, in 40 day,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
UNEEC,2002/8/19,2002/8/19,TWU00R120008,3013,3089,UNEEC,0,uneec,10,Chunghwa Telecom,x,x,x,Chunghwa Telecom,CHUNGHWA TELECOM,TW:CHG,2000/10/30,269528,T2412,TW0002412004
Sintek Photronic Corp,2002/9/2,2002/9/2,TWU00R018004,3049,3671,Sintek Photronic Corp,3,sinephotonic,3,Ushine Photonics,x,x,x,Ushine Photonics,USHINE PHOTONICS,TW:UPS,2009/10/22,69297F,T3678,TW0003678009
SPI Electronic Co Ltd,2002/9/17,2002/9/17,TWU00R131005,3015,3679,SPI Electronic Co Ltd,0,spi,12,Taiwan Prosperity Chemical,x,x,x,Taiwan Prosperity Chemical,TAIWAN PROSPERITY CHM.,TW:TNP,2007/10/2,41227U,T4725,TW0004725007
ITE Technology Inc,2002/9/29,2002/9/29,,3014,3672,ITE Technology Inc,0,ite,12,Taiwan Name Plate,x,x,x,Taiwan Name Plate,TAIWAN NAME PLATE,TW:TPL,2016/9/29,2605HU,T6593,TW0006593007
Carry Computer Eng Co Ltd,2002/10/21,2002/10/21,TWU00R170003,3054,3679,Carry Computer Eng Co Ltd,5,arcomputer,4,Sunfar Computer,x,x,x,Sunfar Computer,SUNFAR COMPUTER,TW:SCC,2002/2/18,15206H,T6154,TW0006154008
Leader Electronics Inc,2002/11/12,2002/11/12,TWU00R068009,3058,3612,Leader Electronics Inc,0,leaders,8,Leadtek Research,x,x,x,Leadtek Research,LEADTEK RESEARCH,TW:LRI,1999/6/3,691556,T2465,TW0002465002
Precision Silicon Corp,2002/11/23,2002/11/23,TWU00R154007,3016,3674,Precision Silicon Corp,5,presionlco,5,Professional Computer Technology,x,x,x,Professional Computer Technology,PROFESSIONAL CMP.TECH.,TW:PCH,2003/9/17,27593H,T6270,TW0006270002
Altek Corp,2002/11/25,2002/11/25,TWU00R179004,3059,3861,Altek Corp,0,altek,10,Taiwan Line Tek Electronic,x,x,x,Taiwan Line Tek Electronic,TAIWAN LINE TEK ELT.,TW:TLE,1996/1/4,887813,T2462,TW0002462009
Intl Semiconductor Tech Ltd,2003/8/11,2003/8/11,,3063,3679,Intl Semiconductor Tech Ltd,2,insemiconduct,2,Win Semiconductors,x,x,x,Win Semiconductors,WIN SEMICONDUCTORS,TW:WSN,2009/10/6,68798F,T3105,TW0003105003
Taiwan Salt Co,2003/9/23,2003/9/23,,1737,2899,Taiwan Salt Co,2,taiwanalco,5,Taiwan Allied Container Terminal,x,x,x,Taiwan Allied Container Terminal,TAIWAN ALLIED CTNR.TERM.,TW:TCT,1996/1/4,887846,T5601,TW0005601009
Aten International Co Ltd,2003/9/29,2003/9/29,TW0006277007,6277,3674,Aten International Co Ltd,0,aten,11,Taiwan Steel Union,x,x,x,Taiwan Steel Union,TAIWAN STEEL UNION,TW:TSU,2016/9/9,2566EC,T6581,TW0006581002
Boser Technology Co Ltd,2003/10/19,2003/10/19,TW0003069001,3069,3674,Boser Technology Co Ltd,0,boser,10,Tyson Bioresearch,x,x,x,Tyson Bioresearch,TYSON BIORESEARCH,TW:TYB,2008/6/11,53812R,T4134,TW0004134002
Axis Corp,2003/10/27,2003/10/27,TW0006292006,6292,3612,Axis Corp,0,axis,11,Thevax Genetics Vaccine,x,x,x,Thevax Genetics Vaccine,THEVAX GENETICS VACCINE,TW:VAX,2016/1/22,8852HK,T6567,TW0006567001
AV Tech Corp,2003/10/28,2003/10/28,TW0008072000,8072,3674,AV Tech Corp,0,avtech,3,Advantech,x,x,x,Advantech,ADVANTECH,TW:ADV,1999/12/13,280084,T2395,TW0002395001
Sinotronix Technology Corp,2003/11/26,2003/11/26,,8016,3674,Sinotronix Technology Corp,1,sinotroni,6,Silicon Optronics,x,x,x,Silicon Optronics,SILICON OPTRONICS,TW:SOX,2007/4/18,50973E,T3530,TW0003530002
Gish International Co Ltd,2004/3/23,2004/3/23,TW0008067000,8067,3674,Gish International Co Ltd,0,gish,11,English Electric,x,x,x,English Electric,ENG ELECTRIC,TW:ENG,2005/1/3,29917W,T8287,TW0008287004
Astro Corp,2004/5/10,2004/5/10,TW0003064002,3064,3559,Astro Corp,0,astro,10,Taiwan Styrene Monomer,x,x,x,Taiwan Styrene Monomer,TW.STYRENE MONOMER,TW:STY,1989/7/3,777141,T1310,TW0001310001
South Epitaxy Co Ltd,2004/10/27,2004/10/27,,3214,3674,South Epitaxy Co Ltd,3,utepitaxy,4,United Epitaxy,x,x,x,United Epitaxy,UTD EPITAXY,TW:UNE,1998/11/23,675798,T2422,TW0002422003
Kinik Co,2005/1/3,2005/1/3,TW0001560001,1560,3545,Kinik Co,1,kinico,9,Kino Biotechnology,x,x,x,Kino Biotechnology,KINO BIOTECH,TW:KNO,2011/7/27,77505U,T4154,KYG527551082
Innolux Display Corp,2006/10/11,2006/10/11,TW0003481008,3481,3679,Innolux Display Corp,5,indisplay,6,Emerging Display Technologies,x,x,x,Emerging Display Technologies,EMERGING DISPLAY TECHS.,TW:EDT,2001/4/3,257279,T3038,TW0003038006
Global Unichip Corp,2006/10/31,2006/10/31,TW0003443008,3443,3825,Global Unichip Corp,4,globalihi,6,Global Lighting Technologies,x,x,x,Global Lighting Technologies,GLOBAL LIGHTING TECHS.,TW:GLT,2011/7/28,77464N,T4935,KYG3931M1024
Darfon Electronics Corp,2007/11/15,2007/11/15,TW0008163007,8163,3679,Darfon Electronics Corp,1,darfos,7,Standard Foods,x,x,x,Standard Foods,STANDARD FOODS,TW:SFT,1994/4/8,362416,T1227,TW0001227007
Lotes Co Ltd,2007/11/27,2007/11/27,TW0003533006,3533,3678,Lotes Co Ltd,0,lotes,10,Global Material Science,x,x,x,Global Material Science,GLOBAL MATERIAL SCIENCE,TW:GMS,2015/1/8,92700M,T6481,TW0006481005
Sintronic Technology Inc,2008/4/17,2008/4/17,TW0003536009,3536,3641,Sintronic Technology Inc,0,sintronic,6,Silicon Optronics,x,x,x,Silicon Optronics,SILICON OPTRONICS,TW:SOX,2007/4/18,50973E,T3530,TW0003530002
Dynamic Electronics Co Ltd,2009/3/10,2008/6/27,TW0006251002,6251,3672,Dynamic Electronics Co Ltd,0,dynamics,7,Dynamic Precision Industry,x,x,x,Dynamic Precision Industry,DYNAMIC PRECISION IND.,TW:DYP,2001/2/2,13052P,T8928,TW0008928003
Array Networks Inc,2009/5/13,2009/5/13,TW0003664009,3664,7372,Array Networks Inc,3,aanetworks,3,Alpha Networks,x,x,x,Alpha Networks,ALPHA NETWORKS,TW:ANI,2004/12/20,29830F,T3380,TW0003380002
Entire Technology Co Ltd,2009/8/19,2009/6/26,TW0003573002,3573,3679,Entire Technology Co Ltd,0,entire,9,Neng TYI Precision Industries,x,x,x,Neng TYI Precision Industries,NENG TYI PRECISION INDS.,TW:NTY,2007/7/25,36277H,T3512,TW0003512000
Danen Technology Corp,2010/7/13,2010/4/13,TW0003686002,3686,3674,Danen Technology Corp,0,danen,10,Advanced Semiconductor Engineering,x,x,x,Advanced Semiconductor Engineering,ADVANCED SEMICON.ENGR.,TW:ASE,1989/7/19,540324,T2311,TW0002311008
Apacer Technology Inc,2010/12/22,2010/6/14,TW0008271008,8271,3674,Apacer Technology Inc,0,apacer,9,Apac Opto Electronics,x,x,x,Apac Opto Electronics,APAC OPTO ELTN.,TW:AOE,2002/2/27,15229X,T4908,TW0004908009
Ili Technology Corp,2011/1/4,2010/9/27,TW0003598009,3598,3674,Ili Technology Corp,0,ili,12,Taiwan Leader Biotechnology,x,x,x,Taiwan Leader Biotechnology,TAIWAN LEADER BIOTECH,TW:LDB,2016/1/14,8839TW,T8490,TW0008490004
Taimide Tech Inc,2011/9/28,2011/4/28,TW0003645008,3645,2671,Taimide Tech Inc,3,taiitech,7,Tai-Ling Biotechnology,x,x,x,Tai-Ling Biotechnology,TAI-LING BIOTECH,TW:TAL,2016/2/26,8933Y6,T8496,TW0008496001
Taiwan Enterprise(Cayman)Co,2011/10/17,2010/1/28,KYG8661M1078,5906,2329,Taiwan Enterprise(Cayman)Co,1,taianenterpris,1,Tainan Enterprises,x,x,x,Tainan Enterprises,TAINAN ENTERPRISES,TW:TNE,1999/4/15,691412,T1473,TW0001473007
G-TECH Optoelectronics Corp,2011/11/16,2011/2/25,TW0003149001,3149,3674,G-TECH Optoelectronics Corp,4,choptoelect,4,Chi Mei Optoelectronics,x,x,x,Chi Mei Optoelectronics,CHI MEI OPTOELECTRONICS,TW:CMO,2002/8/26,26146C,T3009,TW0003009007
Eastern Technologies Holding,2012/10/29,2011/6/16,KYG291021031,5225,3651,Eastern Technologies Holding,4,arntechnolo,4,Paragon Technologies,x,x,x,Paragon Technologies,PARAGON TECHNOLOGIES,TW:PRG,2007/11/28,36284T,T3518,TW0003518007
Calin Technology Co Ltd,2012/11/13,2012/4/26,TW0004976006,4976,3827,Calin Technology Co Ltd,0,calin,9,Medical Imaging,x,x,x,Medical Imaging,MEDICAL IMAGING,TW:MIM,2017/6/26,91074D,T6637,TW0006637002
PCL Technologies Inc,2013/11/13,2013/3/26,KYG6956N1034,4977,3674,PCL Technologies Inc,2,ctechnologies,2,CVC Technologies,x,x,x,CVC Technologies,CVC TECHNOLOGIES,TW:CVC,2009/5/27,67705N,T4744,TW0004744008
Pilot Electronics Corp,2013/11/14,2012/4/18,TW0004916002,4916,3577,Pilot Electronics Corp,1,pilos,7,TPG Biologics,x,x,x,TPG Biologics,TPG BIOLOGICS,TW:TPG,2015/3/18,9373MT,T6521,TW0006521008
Onano Industrial Corp,2013/11/21,2013/4/9,TW0006405004,6405,3231,Onano Industrial Corp,0,onano,6,Union Bank of Taiwan,x,x,x,Union Bank of Taiwan,UNION BANK OF TAIWAN,TW:UBT,1996/1/4,887854,T2838,TW0002838000
Candmark Electroptics Co Ltd,2013/11/26,2013/6/7,TW0005259006,5259,3679,Candmark Electroptics Co Ltd,3,candrelectro,3,Chander Electronics,x,x,x,Chander Electronics,CHANDER ELECTRONICS,TW:CRL,2004/3/25,28724H,T8068,TW0008068008
TOPBI International Holdings,2013/12/23,2013/7/4,KYG8922A1085,2929,2369,TOPBI International Holdings,3,toholdings,5,Daito ME Holdings,x,x,x,Daito ME Holdings,DAITO ME HOLDINGS,TW:DMH,2016/1/8,8838CJ,T8455,KYG264101034
Tsang Yow Industry Co Ltd,2014/5/7,2013/3/22,TW0001568004,1568,3711,Tsang Yow Industry Co Ltd,4,sangindustr,4,Sinkang Industries,x,x,x,Sinkang Industries,SINKANG INDS.,TW:SII,1996/5/3,887822,T2032,TW0002032000
Enterex Intl,2014/10/8,2014/4/28,KYG316231045,1592,3714,Enterex Intl,3,eerexinl,7,Evertex Frabinology,x,x,x,Evertex Frabinology,EVERTEX FRABINOLOGY,TW:EDF,1999/5/21,691518,T1470,TW0001470003
RTM,2015/7/6,2014/9/24,TW0008463001,8463,3241,RTM,0,rtm,12,Amulaire Thermal Technology,x,x,x,Amulaire Thermal Technology,AMULAIRE THERMAL TECHNOLOGY,TW:ATL,2016/3/10,89549E,T2241,TW0002241007
Jourdeness Group Ltd,2015/10/14,2014/12/3,,4190,7299,Jourdeness Group Ltd,7,orsgroup,4,Polaris Group,x,x,x,Polaris Group,POLARIS GROUP,TW:POG,2016/2/15,8885KA,T6550,KYG7171A1085
M.J. International Co Ltd,2016/10/18,2016/6/12,,8466,3089,M.J. International Co Ltd,0,mj,4,Gomaji,x,x,x,Gomaji,GOMAJI,TW:GMJ,2015/1/14,9273ND,T8472,TW0008472002
Laster Tech Corp Ltd,2016/12/5,2016/7/28,TW0003346003,3346,5065,Laster Tech Corp Ltd,2,laterech,7,Leadtek Research,x,x,x,Leadtek Research,LEADTEK RESEARCH,TW:LRI,1999/6/3,691556,T2465,TW0002465002
Tecon Co Ltd,1991/11/8,1991/11/8,,TECON,3661,Tecon Co Ltd,0,tecon,10,Taiwan Semiconductor Manufacturing,x,x,x,Taiwan Semiconductor Manufacturing,TAIWAN SEMICON.MNFG.,TW:TSM,1994/9/6,140406,T2330,TW0002330008
Hwang Dih Lon Textile,1992/4/8,1992/4/8,TW0001448009,HWANG,2269,Hwang Dih Lon Textile,6,nglontext,6,Toungloong Textile Manufacturing,x,x,x,Toungloong Textile Manufacturing,TOUNGLOONG TEX.MNFG.,TW:TLT,1996/5/9,887808,T4401,TW0004401005
Ruentex Construction & Dvlp Co,1992/4/30,1992/4/30,TW0009566943,9945,1522,Ruentex Construction & Dvlp Co,4,ruentexnstr,4,Ruentex Industries,x,x,x,Ruentex Industries,RUENTEX INDUSTRIES,TW:RUE,1989/7/3,777120,T2915,TW0002915006
Tah Shin Industrial Group,1992/5/9,1992/5/9,TW0009567180,TAHSIG,3559,Tah Shin Industrial Group,3,tashingro,6,Tai Shing Electronics Components,x,x,x,Tai Shing Electronics Components,TAI SHING ELECTRONICS COMPONENTS,TW:TSP,2015/9/11,99243H,T3426,TW0003426003
Sin-Yih Ceramic Co Ltd,1992/8/10,1992/8/10,TW0008943978,1806,3253,Sin-Yih Ceramic Co Ltd,5,sinicemic,5,Hsinli Chemical Industrial,x,x,x,Hsinli Chemical Industrial,HSINLI CHEMICAL INDL.,TW:HSI,1999/3/10,691230,T4303,TW0004303003
Long Bon Construction Co Ltd,1992/9/26,1992/9/26,,2514,3575,Long Bon Construction Co Ltd,3,longconstruc,3,Le Young Construction,x,x,x,Le Young Construction,LE YOUNG CONSTRUCTION,TW:LYC,2008/6/24,67736E,T2599,TW0002599008
Merida Industry Co Ltd,1992/9/30,1992/9/30,TW0008944364,MERIDA,3751,Merida Industry Co Ltd,5,raindustr,6,Aurona Industries,x,x,x,Aurona Industries,AURONA INDUSTRIES,TW:ARN,2004/1/27,28395X,T8074,TW0008074006
Sun Yad Plastic Co Ltd,1992/10/15,1992/10/15,,1316,3089,Sun Yad Plastic Co Ltd,3,nyaplastic,3,Nan Ya Plastics,x,x,x,Nan Ya Plastics,NAN YA PLASTICS,TW:NYP,1987/9/8,756122,T1303,TW0001303006
Chia I Industrial Co Ltd,1992/11/2,1992/11/2,TW0008943945,2017,3315,Chia I Industrial Co Ltd,0,chiai,10,Cathay Financial Holding,x,x,x,Cathay Financial Holding,CATHAY FINL.HLDG.,TW:CFC,1988/7/13,772053,T2882,TW0002882008
Chang Ku Building Co Ltd,1993/5/28,1993/5/28,TW0008944232,CHANGK,1522,Chang Ku Building Co Ltd,4,chanbuildin,4,Champion Building Materials,x,x,x,Champion Building Materials,CHAMPION BLDG.MATS.,TW:SYC,1992/9/28,315992,T1806,TW0001806008
CTCI Corp Ltd,1993/5/28,1993/5/28,TW0002541000,9933,1541,CTCI Corp Ltd,0,ctci,11,Cathay Financial Holding,x,x,x,Cathay Financial Holding,CATHAY FINL.HLDG.,TW:CFC,1988/7/13,772053,T2882,TW0002882008
Tze Shing Transport Terminal,1993/10/28,1993/10/28,TW0008944281,2611,4412,Tze Shing Transport Terminal,6,tshingtro,6,Tai Shing Electronics Components,x,x,x,Tai Shing Electronics Components,TAI SHING ELECTRONICS COMPONENTS,TW:TSP,2015/9/11,99243H,T3426,TW0003426003
Pan Intl Industrial Corp,1993/11/9,1993/11/9,TW0008943887,2328,3678,Pan Intl Industrial Corp,1,anintl,9,Taiwan Line Tek Electronic,x,x,x,Taiwan Line Tek Electronic,TAIWAN LINE TEK ELT.,TW:TLE,1996/1/4,887813,T2462,TW0002462009
Pony Leather Corp,1994/2/22,1994/2/22,,PONYL,2295,Pony Leather Corp,2,onleather,6,Union Leather and Printing,x,x,x,Union Leather and Printing,UNION LEATHER & PRINTING,TW:ULE,1989/7/3,777151,T1306,TW0001306009
Wei-Cheng Construction,1994/10/18,1994/10/18,,,8711,Wei-Cheng Construction,4,echngconstr,4,TE Chang Construction,x,x,x,TE Chang Construction,TE CHANG CONSTRUCTION,TW:TCC,1998/12/9,675837,T5511,TW0005511000
Associated Transport Inc,1994/10/20,1994/10/20,,ATRANS,4412,Associated Transport Inc,3,associatedns,3,Associated Industries China,x,x,x,Associated Industries China,ASSOCIATED INDS.CHINA,TW:AIC,1992/8/10,316078,T9912,TW0009912006
