issuer,Idate,Fdate,ISIN,ticker,SIC
Visual Photonics Epitaxy,2002/1/5,2002/1/5,,2455,3674
K S Terminals Inc,2002/1/14,2002/1/14,,3003,3575
Rechi Precision Co Ltd,2002/1/19,2002/1/19,TWU00R026007,4532,3585
Unity Opto Technology Co Ltd,2002/1/24,2002/1/18,TWU00R096000,2499,3679
Elite Semiconductor Memory,2002/1/28,2002/1/28,,3006,3674
Infortrend Technology Inc,2002/2/22,2002/2/22,TWU00R101008,2495,3823
Jye Tai Precision Industrial,2002/2/22,2002/2/22,TWU00R014003,6165,3699
Harvatek Corp,2002/2/23,2002/2/23,TWU00R050007,6168,3674
Adlink Technology Inc,2002/2/27,2002/2/27,TWU00R019002,6166,3577
Chong Hong Construction Co Ltd,2002/2/27,2002/2/27,,5534,1522
Billionton Systems Inc,2002/3/18,2002/3/18,TWU00R062002,6172,3674
Quanta Display Inc,2002/7/31,2002/7/31,TWU00R171001,3012,3663
Promate Electronic Co Ltd,2002/8/18,2002/8/18,TWU00R112005,6189,3674
UNEEC,2002/8/19,2002/8/19,TWU00R120008,3013,3089
Sintek Photronic Corp,2002/9/2,2002/9/2,TWU00R018004,3049,3671
Marketech International Corp,2002/9/16,2002/9/16,TWU00R110009,6196,3674
SPI Electronic Co Ltd,2002/9/17,2002/9/17,TWU00R131005,3015,3679
Chiu Ting Machinery Co,2002/9/25,2002/9/25,TW0004531009,1539,3545
U-Tech Media Corp,2002/9/28,2002/9/28,TWU00R129009,3050,3652
ITE Technology Inc,2002/9/29,2002/9/29,,3014,3672
Optimax Technology Corp,2002/9/30,2002/9/30,TWU00R165003,3051,3826
Test Research Inc,2002/9/30,2002/9/30,TW0005496004,3030,3674
Holtek Semiconductor Inc,2002/10/1,2002/10/1,TWU00R127003,6202,3674
Carry Computer Eng Co Ltd,2002/10/21,2002/10/21,TWU00R170003,3054,3679
Leader Electronics Inc,2002/11/12,2002/11/12,TWU00R068009,3058,3612
Promise Technology Inc,2002/11/19,2002/11/19,TWU00R145005,3057,3577
Spirox Corp,2002/11/19,2002/11/19,TWU00R177008,3055,3674
Precision Silicon Corp,2002/11/23,2002/11/23,TWU00R154007,3016,3674
Altek Corp,2002/11/25,2002/11/25,TWU00R179004,3059,3861
Kinko Optical Co Ltd,2002/12/1,2002/12/1,TWU00R114001,6209,3827
Johnson Health Tech Co Ltd,2002/12/9,2002/12/9,TWU00R408007,1736,2836
Makalot Industrial Co Ltd,2002/12/23,2002/12/23,TWU00R917007,1477,2253
Waffer Technology Corp,2003/2/12,2003/2/12,TWU00R189003,6235,3567
Min Aik Technology Co Ltd,2003/3/22,2003/3/22,TWU00R186009,3060,3469
CyberTAN Technology Inc,2003/6/27,2003/6/27,TW0003062006,3062,3674
Wistron Corp,2003/7/21,2003/7/21,,3231,3571
Sigurd Microelectronics Corp,2003/7/23,2003/7/23,TW0006257009,6257,3674
Arima Optoelectronics Corp,2003/7/30,2003/7/30,TW0006289002,6289,3674
Acbel Polytech Inc,2003/8/10,2003/8/10,TWU00R232001,6282,3674
Intl Semiconductor Tech Ltd,2003/8/11,2003/8/11,,3063,3679
Wistron Neweb Corp,2003/8/21,2003/8/21,TW0006285000,6285,3663
Flexium Interconnect Inc,2003/8/24,2003/8/24,TW0006269004,6269,3672
Plotech Co Ltd,2003/9/20,2003/9/20,,6141,3674
Taiwan Salt Co,2003/9/23,2003/9/23,,1737,2899
Honey Hope Honesty Enterprise,2003/9/24,2003/9/24,TW0008043001,8043,3674
Aten International Co Ltd,2003/9/29,2003/9/29,TW0006277007,6277,3674
Boser Technology Co Ltd,2003/10/19,2003/10/19,TW0003069001,3069,3674
Axis Corp,2003/10/27,2003/10/27,TW0006292006,6292,3612
AV Tech Corp,2003/10/28,2003/10/28,TW0008072000,8072,3674
Chinese Gamer Intl Corp,2003/11/4,2003/11/4,TW0003083002,3083,7372
Compal Communications Inc,2003/11/11,2003/11/11,TW0008078007,8078,3663
Macauto Industrial Co Ltd,2003/11/19,2003/11/19,TW0009951004,9951,3711
Taiwan Union Technology Corp,2003/11/19,2003/11/19,TW0006274004,6274,3674
Taiflex Scientific Co Ltd,2003/11/20,2003/11/20,TW0008039009,8039,3674
Sinotronix Technology Corp,2003/11/26,2003/11/26,,8016,3674
Formosa Petrochemical Corp,2003/11/28,2003/11/28,TW0006505001,6505,2899
SCI Pharmtech Inc,2003/12/8,2003/12/8,TW0004119003,4119,2833
Homenema Disk Inc,2004/1/15,2004/1/15,TW0008087008,8087,3674
Allied Material Tech Corp,2004/2/2,2004/2/2,TW0008017005,8017,5065
Silitech Technology Corp,2004/2/8,2004/2/8,,3311,3674
Depo Auto Parts Ind Co Ltd,2004/2/15,2004/2/15,TW0006605009,6605,3647
Huikwang Corp,2004/2/21,2004/2/21,TW0006508005,6508,2879
Howteh Technology Co Ltd,2004/2/26,2004/2/26,TW0003114005,3114,3674
Alltek Technology Corp,2004/3/1,2004/3/1,TW0003209003,3209,5063
St Shine Optical,2004/3/1,2004/3/1,TW0001565000,1565,3851
Fu Chun Shin Mach Mnfr Co Ltd,2004/3/4,2004/3/4,TW0006603004,6603,3544
Dr. Chip Biotechnology Inc,2004/3/11,2004/3/11,TW0004131008,4131,2836
Ace Pillar Co Ltd,2004/3/15,2004/3/15,TW0008374000,8374,5084
Gish International Co Ltd,2004/3/23,2004/3/23,TW0008067000,8067,3674
Top Union Electronics Corp,2004/4/2,2004/4/2,TW0006266000,6266,3674
Opnet Technologies Co Ltd,2004/4/7,2004/4/7,TW0008034000,8034,3674
Astro Corp,2004/5/10,2004/5/10,TW0003064002,3064,3559
Lih Duo International Co Ltd,2004/6/18,2004/6/18,,3079,3674
Optodisc Technology Corp,2004/6/23,2004/6/23,TW0003142006,3142,3695
Kisus Interconnect Tech Corp,2004/10/5,2004/10/5,TW0003189007,3189,3674
Lite-On IT Corp,2004/10/7,2004/10/7,TW0008008004,8008,3674
South Epitaxy Co Ltd,2004/10/27,2004/10/27,,3214,3674
Alpha Networks Inc,2004/11/22,2004/11/22,,3380,3577
Yulon Nissan Motor Co Ltd,2004/11/24,2004/11/24,,2227,3711
System General Corp,2004/12/6,2004/12/6,TW0006280001,6280,3577
Kinik Co,2005/1/3,2005/1/3,TW0001560001,1560,3545
Cheertek Inc,2005/1/4,2005/1/4,TW0003271003,3271,3572
GeoVision Inc,2005/2/25,2005/2/25,TW0003356002,3356,3674
Creative Sensor Inc,2005/4/20,2005/4/20,TW0008249004,8249,3674
Inventec Appliances Corp,2005/10/18,2005/10/18,TW0003367009,3367,3661
Genius Electn Optical Co Ltd,2005/12/2,2005/12/2,TW0003406005,3406,3827
E-Life mall Co Ltd,2005/12/6,2005/12/6,TW0006281009,6281,3674
Shin Zu Shing Co Ltd,2005/12/13,2005/12/13,TW0003376000,3376,3429
104 Corp,2006/1/12,2006/1/12,TW0003130001,3130,7375
Inotera Memories Inc,2006/2/27,2006/2/27,TW0003474003,3474,3674
Nan Ya Printed Circuit Board,2006/3/21,2006/3/21,TW0008046004,8046,3672
Elite Advanced Laser Corp,2006/3/27,2006/3/27,TW0003450003,3450,3674
Innolux Display Corp,2006/10/11,2006/10/11,TW0003481008,3481,3679
Maxtek Technology Co Ltd,2006/10/13,2006/10/13,TW0003315008,3315,3674
Taiwan Nano Electro-Optical,2006/10/26,2006/10/26,TW0006255003,6255,3674
Global Unichip Corp,2006/10/31,2006/10/31,TW0003443008,3443,3825
Davicom Semiconductor Inc,2007/7/23,2007/7/23,TW0003094009,3094,3674
Well Shin Technology Co Ltd,2007/9/10,2007/9/10,TW0003501003,3501,3679
Taiwan Prosperity Chemical,2007/9/20,2007/9/20,TW0004725007,4725,2899
Inventec Besta Co Ltd,2007/10/16,2007/10/16,TW0008201005,8201,2721
Gintech Energy Corp,2007/10/22,2007/10/22,TW0003514006,3514,3674
ASRock Inc,2007/10/31,2007/10/31,TW0003515003,3515,3571
Sunspring Metal Corp,2007/11/5,2007/11/5,TW0002062007,2062,3261
Tong Hsing Electn Inds Ltd,2007/11/5,2007/11/5,TW0006271000,6271,3674
Darfon Electronics Corp,2007/11/15,2007/11/15,TW0008163007,8163,3679
Paragon Technologies Co Ltd,2007/11/15,2007/11/15,TW0003518007,3518,3674
Formosa Advanced Technology Co,2007/11/16,2007/11/16,TW0008131004,8131,7389
HiTi Digital Inc,2007/11/23,2007/11/23,TW0003494001,3494,3555
HiTi Digital Inc,2007/11/23,2007/11/23,TW0003494001,3494,3555
Formosa Sumco Technology Corp,2007/11/27,2007/11/27,TW0003532008,3532,3674
Lotes Co Ltd,2007/11/27,2007/11/27,TW0003533006,3533,3678
Goodway Machine Corporation,2008/1/11,2008/1/11,TW0001583003,1583,3541
Favite Inc,2008/1/17,2008/1/17,TW0003535001,3535,3823
Gamma Optical Co Ltd,2008/2/12,2008/2/12,TW0003557005,3557,3827
Bestec Power Electn Co Ltd,2008/2/25,2008/2/25,TW0003308003,3308,3612
Century Iron&Steel Industrial,2008/2/26,2008/2/26,TW0009958009,9958,3341
Ralink Technology Corp,2008/3/25,2008/3/25,TW0003534004,3534,3674
Sintronic Technology Inc,2008/4/17,2008/4/17,TW0003536009,3536,3641
Solartech Energy Corp,2008/11/28,2008/6/30,TW0003561007,3561,3674
Hai Kwang Enterprise Corp,2008/12/2,2008/8/18,TW0002038007,2038,3312
CSBC Corp,2008/12/4,2008/6/14,TW0002208006,2208,3731
Neo Solar Power Corp,2009/1/6,2008/12/30,TW0003576005,3576,3674
Shiny Chemical Indl Co Ltd,2009/2/20,2008/10/31,TW0001773000,1773,2869
Arcadyan Technology Corp,2009/3/4,2008/2/27,TW0003596003,3596,3663
Logah Technology Corp,2009/3/9,2008/5/30,TW0003593000,3593,3674
Dynamic Electronics Co Ltd,2009/3/10,2008/6/27,TW0006251002,6251,3672
Array Networks Inc,2009/5/13,2009/5/13,TW0003664009,3664,7372
TrendChip Technologies Corp,2009/6/11,2009/2/27,TW0003614004,3614,3674
Hiwin Technologies Corp,2009/6/19,2008/12/1,TW0002049004,2049,3451
Leadtrend Technology Corp,2009/8/6,2009/4/2,TW0003588000,3588,3674
Entire Technology Co Ltd,2009/8/19,2009/6/26,TW0003573002,3573,3679
Coxon Precise Industrial Co,2009/10/21,2009/6/27,TW0003607008,3607,2821
Jentech Precision Industrial,2009/11/11,2009/7/22,TW0003653002,3653,3674
Cyberpower Systems Inc,2009/12/16,2009/9/16,TW0003617007,3617,3674
San Chih Semiconductor Co Ltd,2009/12/16,2009/9/28,TW0003579009,3579,3674
Taiwan PCB Techvest Co Ltd,2009/12/18,2009/9/27,TW0008213000,8213,3672
Abnova Corp,2009/12/21,2009/8/20,TW0004133004,4133,2836
Integrated Memory Logic Ltd,2010/5/11,2008/8/23,KYG479511019,3638,3674
Star Comgistic Capital Co Ltd,2010/6/11,2010/3/22,TW0004930003,4930,3634
Danen Technology Corp,2010/7/13,2010/4/13,TW0003686002,3686,3674
J Touch Corp,2010/7/20,2010/4/16,TW0003584009,3584,3679
Nuvoton Technology Corp,2010/9/17,2010/5/27,TW0004919006,4919,3674
TPK Holding Co Ltd,2010/10/22,2010/1/19,,3673,3675
Copartner Technology Corp,2010/11/3,2010/4/13,TW0003550000,3550,3357
BenQ Materials Corp,2010/11/5,2010/6/17,TW0008215005,8215,3674
Gourmet Master Co Ltd,2010/11/15,2010/6/29,KYG4002A1004,2723,5812
Wisdom Marine Lines Co Ltd,2010/11/24,2010/7/19,KYG9721M1033,2637,4412
Airtac Intl Grp,2010/12/6,2010/11/11,,1590,3594
Chernan Metal Industrial Corp,2010/12/13,2009/9/1,TW0003631008,3631,3356
MStar Semiconductor Inc,2010/12/17,2010/8/20,KYG6320A1004,3697,3674
Apacer Technology Inc,2010/12/22,2010/6/14,TW0008271008,8271,3674
Ili Technology Corp,2011/1/4,2010/9/27,TW0003598009,3598,3674
Formosa Laboratories Inc,2011/2/21,2010/3/25,TW0004746003,4746,2819
Champion Microelectronic Corp,2011/3/14,2010/10/25,TW0003257002,3257,3674
Bizlink Holding Inc,2011/4/18,2010/10/29,KYG114741062,3665,3674
