Idate,Fdate,issuer,Business,SIC,hightec,state,nation,ticker,exchange,industry,bookrunner,managers,grosspread,managementfee,underfee,concession,reallowance,grossspreadP,managementfeeP,underfeeP,concessionP,reallowanceP,grossspreadmkt,principal,principalmkt,proceeds,proceedsmkt,p0,type,description,currency,marketplace,Pexchange,Ph,PL,Pm,sharesF,shareFmkt,amt,Tdamt,IPOflag,shares,Pshares,Sshares,sharesmkt,P_1,P1,spinoff,ownershipB,OwnershipA,Lexchange,ISIN,maintranche,foreignflag,ApsharesFSM,ApsharesF,PsharesFSM,PsharesFM,PsharesOSM,PsharesOM,country,IPO_number,Main_market,year,pshare1,sic1,S1,s2
2002/1/5,2002/1/5,Visual Photonics Epitaxy,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,2455,Taiwan,Manufacturing,ASIA-SEC-TW,"Asia Securities
Taiwan Securit",na,,,,,na,,,,,,5,5,5,5,23,Ord/Common Shs.,"7,790,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"7,790,000","7,790,000",,7790000,2.464,,,,,TAIWN,,Y,No,,,,,"7,790,000","7,790,000",Taiwan,,,2002,7790000,3674,3,36
2002/1/14,2002/1/14,K S Terminals Inc,"Mnfr,whl terminals",3575,Monitors/Terminals,Foreign,Taiwan,3003,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
O",na,,,,,na,,,,,,10,10,10,10,31,Ord/Common Shs.,"11,631,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"11,631,000","11,631,000",,11631000,2.524,0.944,,,,TAIWN,,Y,No,,,,,"11,631,000","11,631,000",Taiwan,,,2002,11631000,3575,3,35
2002/1/19,2002/1/19,Rechi Precision Co Ltd,Manufacture compressors,3585,Primary Business not Hi-Tech,Foreign,Taiwan,4532,Taiwan,Manufacturing,SINOPS,"SinoPac Securities Co Ltd
Mast",na,,,,,na,,,,,,5,5,5,5,16.8,Ord/Common Shs.,"10,000,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"10,000,000","10,000,000",,10000000,1.03,0.51,,,,TAIWN,TWU00R026007,Y,No,,,,,"10,000,000","10,000,000",Taiwan,,,2002,10000000,3585,3,35
2002/1/24,2002/1/18,Unity Opto Technology Co Ltd,"Mnfr,whl optoelectronic prod",3679,"Other Electronics
Semiconducto",Foreign,Taiwan,2499,Taiwan,Manufacturing,FUBON,"Fubon Securities Co Ltd
Fuh-Hw",na,,,,,na,,,,,,17,17,17,17,39,Ord/Common Shs.,"15,257,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"15,257,000","15,257,000",,15257000,0.396,1.189,,,,TAIWN,TWU00R096000,Y,No,,,,,"15,257,000","15,257,000",Taiwan,,,2002,15257000,3679,3,36
2002/1/28,2002/1/28,Elite Semiconductor Memory,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,3006,Taiwan,Manufacturing,TAIWIS,"Taiwan Intl Securities Corp
Ch",na,,,,,na,,,,,,43,43,43,43,150,Ord/Common Shs.,"10,000,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"10,000,000","10,000,000",,10000000,1.58,4.568,,,,TAIWN,,Y,No,,,,,"10,000,000","10,000,000",Taiwan,,,2002,10000000,3674,3,36
2002/2/22,2002/2/22,Infortrend Technology Inc,Mnfr of RAID controller,3823,Precision/Measuring Test Equip,Foreign,Taiwan,2495,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
C",na,,,,,na,,,,,,44,44,44,44,102,Ord/Common Shs.,"15,060,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"15,060,000","15,060,000",,15060000,0.469,,,,,TAIWN,TWU00R101008,Y,No,,,,,"15,060,000","15,060,000",Taiwan,,,2002,15060000,3823,3,38
2002/2/22,2002/2/22,Jye Tai Precision Industrial,"Mnfr,whl electronic parts",3699,Other,Foreign,Taiwan,6165,Taiwan,Manufacturing,JIH-SUN-SEC,"Jih Sun Securities Co Ltd
Orie",na,,,,,na,,,,,,6,6,6,6,33,Ord/Common Shs.,"6,180,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"6,180,000","6,180,000",,6180000,1.383,1.006,,,,TAIWN,TWU00R014003,Y,No,,,,,"6,180,000","6,180,000",Taiwan,,,2002,6180000,3699,3,36
2002/2/23,2002/2/23,Harvatek Corp,Mnfr semiconductors,3674,Semiconductors,Foreign,Taiwan,6168,Taiwan,Manufacturing,HUA-NAN-SEC,"Hua Nan Securities Co Ltd
Mast",na,,,,,na,,,,,,5,5,5,5,36,Ord/Common Shs.,"4,869,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"4,869,000","4,869,000",,4869000,0.559,1.098,,,,TAIWN,TWU00R050007,Y,No,,,,,"4,869,000","4,869,000",Taiwan,,,2002,4869000,3674,3,36
2002/2/27,2002/2/27,Adlink Technology Inc,Mnfr embedded computing prod,3577,"Other Electronics
Semiconducto",Foreign,Taiwan,6166,Taiwan,Manufacturing,TAIWAN-SEC,"Taiwan Securities
ChinaTrust S",na,,,,,na,,,,,,4,4,4,4,55,Ord/Common Shs.,"2,630,000.0 Ord/Common Shs.",TW,Taiwan Public,TOTC,,,,,,,,Yes,"2,630,000","2,630,000",,2630000,2.235,1.671,,,,TOTC,TWU00R019002,Y,No,,,,,"2,630,000","2,630,000",Taiwan,,,2002,2630000,3577,3,35
2002/2/27,2002/2/27,Chong Hong Construction Co Ltd,Construction company,1522,Primary Business not Hi-Tech,Foreign,Taiwan,5534,Taiwan,Construction,TAIWIS,"Taiwan Intl Securities Corp
Po",na,,,,,na,,,,,,3,3,3,3,12,Ord/Common Shs.,"7,986,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,"7,986,000","7,986,000",,7986000,2.583,0.365,,,,TAIWN,,Y,No,,,,,"7,986,000","7,986,000",Taiwan,,,2002,7986000,1522,1,15
