name,n
holdings,1054
group,503
international,391
china,350
technology,84
temp,79
hong,72
company,71
kong,70
energy,67
and,61
development,57
resources,57
investment,56
holding,55
asia,50
financial,49
new,37
properties,35
limited,34
'h',30
global,30
pacific,27
investments,26
mining,26
bank,22
capital,22
detached,22
enterprises,22
land,20
power,20
property,20
services,19
class,18
grand,18
media,18
pharmaceutical,18
entertainment,17
industrial,17
real,17
b,16
healthcare,16
on,15
corporation,14
environmental,14
estate,14
food,14
health,14
sun,14
century,13
chemical,13
chinese,13
construction,13
industry,13
lee,13
shanghai,13
tai,13
technologies,13
trust,13
beijing,12
hing,12
securities,12
sino,12
wah,12
wing,12
finance,11
fung,11
gas,11
golden,11
hotel,11
man,11
city,10
digital,10
education,10
enterprise,10
green,10
medical,10
united,10
water,10
electronics,9
hang,9
industries,9
king,9
lai,9
modern,9
realty,9
retail,9
sang,9
tian,9
c,8
cement,8
chong,8
culture,8
east,8
gold,8
great,8
hutchison,8
logistics,8
network,8
nil,8
of,8
oil,8
oriental,8
paid,8
sing,8
world,8
auto,7
dairy,7
engineering,7
far,7
hua,7
infrastructure,7
interactive,7
li,7
materials,7
national,7
ocean,7
orient,7
shenzhen,7
shipping,7
shun,7
south,7
systems,7
yue,7
'b',6
cayman,6
commercial,6
concord,6
credit,6
eagle,6
electric,6
first,6
glory,6
guangdong,6
hotels,6
kwong,6
overseas,6
petroleum,6
products,6
software,6
tcl,6
telecom,6
yuan,6
'a',5
citic,5
communication,5
communications,5
concepts,5
environment,5
future,5
glass,5
high,5
hung,5
kee,5
lighting,5
management,5
medicine,5
ming,5
mobile,5
one,5
paper,5
partners,5
peace,5
pharma,5
road,5
science,5
solar,5
sports,5
standard,5
strategic,5
sunshine,5
swire,5
tong,5
wai,5
wheelock,5
alliance,4
allied,4
an,4
assets,4
automobile,4
best,4
cct,4
champion,4
cheung,4
chi,4
chinney,4
ck,4
delisted,4
distribution,4
e,4
easy,4
electronic,4
emperor,4
equipment,4
fook,4
fortune,4
fu,4
fund,4
hao,4
henderson,4
heng,4
hkc,4
ho,4
in,4
insurance,4
jewellery,4
kin,4
landing,4
legend,4
life,4
link,4
long,4
lung,4
machinery,4
manufacturing,4
metal,4
nan,4
natural,4
nice,4
oilfield,4
online,4
optical,4
perfect,4
playmates,4
public,4
royal,4
service,4
sheng,4
shing,4
shougang,4
shui,4
smart,4
tak,4
telecommunications,4
tianjin,4
times,4
top,4
transport,4
travel,4
union,4
universal,4
vision,4
wan,4
wang,4
watch,4
wealth,4
xinyi,4
zhong,4
alibaba,3
art,3
asset,3
automotive,3
baofeng,3
beverage,3
biotechnology,3
bright,3
care,3
cash,3
cheng,3
chevalier,3
clean,3
cosco,3
cosmopolitan,3
cp,3
crown,3
da,3
dah,3
daohe,3
department,3
dragon,3
dummy,3
dynamic,3
everbright,3
fashion,3
field,3
focus,3
fy,3
garment,3
general,3
get,3
gome,3
good,3
greenland,3
grp,3
harvest,3
hkt,3
hongkong,3
hop,3
hopewell,3
hsbc,3
hsin,3
huarong,3
i-cable,3
inhs,3
jinmao,3
k,3
kai,3
kerry,3
kinetic,3
leasing,3
luen,3
madison,3
mega,3
merchants,3
midland,3
minsheng,3
motor,3
n1,3
networks,3
noble,3
north,3
pak,3
pan,3
pao,3
pccw,3
petro-king,3
ping,3
port,3
precision,3
prosperity,3
protection,3
qingdao,3
s,3
san,3
satellite,3
scientific,3
semiconductor,3
silver,3
sis,3
siu,3
sky,3
smi,3
specie,3
speed,3
store,3
stores,3
success,3
television,3
termbray,3
town,3
universe,3
victory,3
win,3
wisdom,3
xin,3
yang,3
yuexiu,3
yuhua,3
100,2
a,2
advanced,2
aeon,2
agricultural,2
agriculture,2
aircraft,2
akm,2
aluminum,2
apac,2
appliances,2
applied,2
arts,2
ascent,2
asian,2
automation,2
aviation,2
avic,2
beauty,2
beijingwest,2
bermuda,2
billion,2
bio,2
biopharmaceutical,2
biotech,2
boc,2
bocom,2
brewery,2
brothers,2
building,2
bus,2
cassava,2
catering,2
cathay,2
central,2
cgn,2
chemicals,2
chen,2
chia,2
