name,n
ltd,839
holdings,346
co,185
group,173
intl,150
hldg,141
china,137
international,81
hldgs,74
grp,38
corp,33
tech,33
&,29
holding,21
hong,20
technology,18
mining,15
pharm,14
resources,14
kong,13
asia,12
global,12
energy,11
inc,11
wah,11
cement,10
power,10
chemical,9
food,9
hing,9
new,9
auto,8
beijing,8
lee,8
pacific,8
tai,8
wing,8
expressway,7
golden,7
kee,7
media,7
ming,7
shun,7
commun,6
constr,6
development,6
east,6
engineering,6
far,6
fung,6
guangdong,6
pharmaceutical,6
shipping,6
textile,6
world,6
cheong,5
city,5
dairy,5
dvlp,5
elec,5
envi,5
fu,5
gold,5
great,5
healthcare,5
ind,5
king,5
mach,5
man,5
materials,5
modern,5
paper,5
port,5
shanghai,5
sing,5
steel,5
stores,5
svcs,5
telecom,5
yue,5
chong,4
chun,4
construction,4
culture,4
dept,4
digital,4
electronic,4
first,4
glass,4
grand,4
hang,4
hld,4
hua,4
hung,4
industrial,4
industries,4
kin,4
logistics,4
luen,4
machinery,4
medical,4
ocean,4
oil,4
oilfield,4
optical,4
printing,4
retail,4
sa,4
services,4
solar,4
technologies,4
transport,4
travel,4
vision,4
wall,4
watch,4
wo,4
zhejiang,4
air,3
aluminum,3
anhui,3
automation,3
bao,3
byd,3
chem,3
cheung,3
chongqing,3
coal,3
company,3
computer,3
conch,3
container,3
da,3
dah,3
dragon,3
electric,3
electronics,3
enterprise,3
enterprises,3
fashion,3
fibre,3
fine,3
fook,3
guangzhou,3
high,3
hk,3
hsin,3
inds,3
infrastructure,3
interactive,3
invest,3
juice,3
kingdom,3
li,3
lifestyle,3
limited,3
metal,3
motor,3
nam,3
natural,3
ngai,3
of,3
packaging,3
perfect,3
pharma,3
sang,3
scientific,3
shing,3
sichuan,3
silver,3
star,3
store,3
sun,3
sys,3
systems,3
tak,3
tang,3
times,3
tong,3
united,3
water,3
win,3
acoustic,2
airport,2
angang,2
art,2
beauty,2
bermuda,2
bldg,2
brewery,2
capital,2
catering,2
cayman,2
ceramics,2
chemicals,2
chu,2
chung,2
clear,2
communications,2
concepts,2
copper,2
cosco,2
ct,2
dalian,2
design,2
e,2
education,2
electn,2
ent,2
entertainment,2
entrp,2
environmental,2
excel,2
f&b,2
fai,2
fat,2
fiber,2
foods,2
force,2
foundation,2
four,2
fujian,2
ge,2
golf,2
good,2
harvest,2
heavy,2
hengshi,2
hop,2
hotels,2
household,2
huafeng,2
industry,2
information,2
int,2
int'l,2
investment,2
iron,2
island,2
jewellery,2
jia,2
jin,2
jingwei,2
jusco,2
kingboard,2
kunming,2
leading,2
legend,2
lines,2
long,2
lung,2
macau,2
machine,2
material,2
med,2
metallurgical,2
mnfg,2
mobile,2
molong,2
molybdenum,2
nan,2
nanjing,2
natl,2
network,2
nonferrous,2
north,2
northeast,2
on,2
oriental,2
pak,2
pao,2
pda,2
petro,2
petroleum,2
pipe,2
po,2
ports,2
precision,2
prime,2
print,2
process,2
products,2
prosper,2
qualipak,2
ren,2
road,2
s,2
samson,2
sandmartin,2
seas,2
semiconductor,2
sense,2
shandong,2
shenhua,2
sino,2
sinotrans,2
sis,2
sky,2
software,2
south,2
spirit,2
sundart,2
sunshine,2
ta,2
time,2
tool,2
transformation,2
union,2
universal,2
venture,2
victory,2
vincent,2
wai,2
wang,2
want,2
wines,2
winshare,2
woo,2
xiabu,2
xinhua,2
xiwang,2
yan,2
yaohan,2
yat,2
yuan,2
yuen,2
zhongsheng,2
zijin,2
zirconium,2
1010,1
1616,1
361,1
3sbio,1
5100,1
a8,1
aac,1
aag,1
abc,1
access,1
active,1
addchance,1
advanced,1
adway,1
ag,1
agri-inds,1
agrotech,1
ah,1
aircraft,1
airlines,1
ajisen,1
albatronics,1
alco,1
alibaba.com,1
all,1
alliance,1
allied,1
alltronics,1
alum,1
aluminium,1
ams,1
ananda,1
andes,1
andre,1
anex,1
animation,1
ankor,1
anta,1
anton,1
ap,1
apparel,1
appl,1
appliances,1
argos,1
arnhold,1
artel,1
artfield,1
artgo,1
artini,1
arts,1
aseptic,1
asiaray,1
asmc,1
asr,1
associate,1
atom-tech,1
aupu,1
ausnutria,1
austar,1
ausupreme,1
automated,1
automobile,1
automobiles,1
automotive,1
av,1
aviation,1
avichina,1
awt,1
axle,1
baic,1
baioo,1
baltrans,1
bang,1
baofeng,1
baoxin,1
baoye,1
base,1
basin,1
bauhaus,1
bawang,1
bay,1
bbi,1
bbmg,1
beida,1
belle,1
benefun,1
bep,1
best,1
besunyen,1
billion,1
bio-chem,1
bio-pharm,1
bio-pharmaceutical,1
bio-tech,1
biological,1
biostime,1
biotechnology,1
bird,1
bloomage,1
bluechemical,1
board,1
boc,1
boer,1
bolina,1
bon,1
bonjour,1
borel,1
boshiwa,1
bosideng,1
boto,1
boyaa,1
branding,1
brave,1
bright,1
broad,1
brothers,1
bun,1
bus,1
caa,1
cabbeen,1
cable,1
cai,1
cans,1
capxon,1
car,1
carpenter,1
carry,1
casablanca,1
cassava,1
castel,1
cec,1
central,1
centron,1
century,1
ch-hk,1
chaifa,1
chain,1
champion,1
chanco,1
changfeng,1
changgang,1
changjiang,1
chanjet,1
chaowei,1
chapelle,1
characters,1
charmacy,1
chee,1
chen,1
chengdu,1
cherish,1
chi,1
chia,1
chian,1
chiho-tiande,1
chinalco,1
chinasoft,1
chinese,1
ching,1
chinney,1
chitaly,1
chiu,1
chow,1
christine,1
chuan,1
cig-wh,1
cil,1
citic,1
climax,1
cnac,1
cnooc,1
cnr,1
co-prosperity,1
cofco,1
cogobuy,1
coking,1
comba,1
come,1
commerce,1
commercial,1
communication,1
companion,1
components,1
computime,1
comtec,1
concept,1
concord,1
conrowa,1
consumable,1
consun,1
contrad,1
convenience,1
corasia,1
corn,1
coslight,1
cosmo,1
costin,1
cowell,1
cpmc,1
crcc,1
creative,1
credit,1
crosstec,1
crown,1
csmc,1
csr,1
cvm,1
cw,1
cyber,1
d&g,1
dachan,1
dailywin,1
daiwa,1
dali,1
datang,1
datronix,1
dawnrays,1
dba,1
decca,1
degrees,1
delta,1
denox,1
dental,1
denway,1
deson,1
devlp,1
dickson,1
directel,1
dominion,1
don,1
dongfeng,1
dongpeng,1
dongwu,1
dongxiang,1
dongyue,1
double,1
dragonfield,1
dragons,1
dream,1
dredging,1
dunxin,1
dynam,1
dynasty,1
eagle,1
eastern,1
easyknit,1
ecogreen,1
economic,1
educ,1
egana,1
egl,1
electrn,1
elegance,1
embry,1
emperor,1
engig,1
enviro-pro,1
eprint,1
equip,1
equipment,1
ernest,1
esprit,1
eu,1
eva,1
ever,1
evergreen,1
expert,1
expo,1
export,1
extrawell,1
eyang,1
fah,1
fairform,1
fairwood,1
fame,1
family,1
farm,1
feishang,1
feiyu,1
fellow,1
finl,1
fittec,1
flair,1
flat,1
flavors,1
flex,1
flooring,1
florens,1
flyke,1
focus,1
footwear,1
ford,1
fordoo,1
forefront,1
forgame,1
form,1
fornton,1
fortei,1
fortuna,1
founder,1
founders,1
foxconn,1
fragrances,1
frank,1
frankie,1
freetech,1
friend,1
frog,1
fruit,1
fse,1
fufeng,1
fuguiniao,1
fujikon,1
fulum,1
furnishings,1
futart,1
futong,1
future,1
galaxy,1
garden,1
gas,1
gases,1
gc,1
gemilang,1
gilbert,1
ginseng,1
giordano,1
gitic,1
glorious,1
glory,1
goldigit,1
goldlion,1
goodbaby,1
grains,1
grande,1
grandtop,1
greater,1
greatview,1
green,1
greenfield,1
greenfresh,1
gst,1
guangnan,1
guo,1
guodian,1
gzi,1
gzitic,1
hai,1
haichang,1
hainan,1
haisheng,1
haitian,1
han,1
hanbo,1
hanking,1
hannstar,1
hanny,1
hanverky,1
haohai,1
harbin,1
harbour,1
harmonicare,1
harmony,1
hawk,1
hb,1
hdlg,1
headwear,1
health,1
hebei,1
hec,1
hei,1
hembly,1
henderson,1
heng,1
hengan,1
hengdeli,1
hengxing,1
heung,1
hidili,1
high-tech,1
highway,1
hilfiger,1
hilong,1
hkc,1
hl,1
hldng,1
hlds,1
hlgds,1
hoi,1
hold,1
holdin,1
home,1
hon,1
hongguo,1
honghua,1
hongqiao,1
honma,1
hontex,1
honworld,1
hopewell,1
hosa,1
hosp,1
houseware,1
housewares,1
hsehld,1
hsong,1
huajin,1
huali,1
hualing,1
huaxi,1
huayu,1
huazhong,1
hudson,1
huili,1
huishan,1
huiyin,1
huiyuan,1
human,1
hunan,1
hwa,1
hydoo,1
i-wood,1
ibi,1
ideal,1
igg,1
imax,1
in,1
indesen,1
indl,1
indust,1
infinity,1
inn,1
