issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Linmark Group Ltd,2002/4/30,2002/4/30,,915,8742,Linmark Group Ltd,1,limark,2,Jolimark Holdings,Jolimark Holdings,JOLIMARK HOLDINGS,K:JOLI,2005/6/29,31254P,HK2028,KYG516941005
Anhui Expressway Co Ltd,2002/12/18,2002/12/18,,995,1611,Anhui Expressway Co Ltd,3,huexpressway,3,Huayu Expressway Group,Huayu Expressway Group,HUAYU EXPRESSWAY GROUP,K:HEWX,2009/12/23,68519L,HK1823,KYG464101099
Lee & Man Paper Mnfg Ltd,2003/9/20,2003/9/10,,2314,2631,Lee & Man Paper Mnfg Ltd,2,leemanpapermn,2,Lee and Man Paper Manufacturing,Lee and Man Paper Manufacturing,LEE & MAN PAPER MNFG.,K:LMPM,2003/9/26,27621R,HK2314,KYG5427W1309
Weichai Power Co Ltd,2004/3/3,2004/2/7,CN000A0B9CD4,2338,3519,Weichai Power Co Ltd,3,chaipower,3,Chaowei Power Holdings,Chaowei Power Holdings,CHAOWEI POWER HOLDINGS,K:CPH,2010/7/7,69682L,HK951,KYG204791043
IRICO Group Electronics Co Ltd,2004/12/13,2004/11/29,CN000A0DPB68,438,3671,IRICO Group Electronics Co Ltd,3,irelectronic,3,Haier Electronics Group,Haier Electronics Group,HAIER ELECTRONICS GP.,K:WIL,1997/12/23,879366,HK1169,BMG423131256
Minmetals Resources Ltd,2005/9/29,2005/9/20,HK1208013172,1208,5051,Minmetals Resources Ltd,3,inmetalresou,3,China Metal Resources Utilization,China Metal Resources Utilization,CHINA METAL RESOURCES UTILIZATION,K:ULMM,2014/2/21,8741WK,HK1636,KYG316221061
Guangdong Nan Yue Logistics Co,2005/10/25,2005/10/14,CN000A0HGLE2,3399,4213,Guangdong Nan Yue Logistics Co,3,guangdonganu,3,Guangdong Kanghua Healthcare 'H',Guangdong Kanghua Healthcare 'H',GUANGDONG KANGHUA HEALTHCARE 'H',K:GNGD,2016/11/8,2644YL,HK3689,CNE100002B55
Chian Haisheng Juice Hldg,2005/10/31,2005/10/25,KYG2111D1060,359,2037,Chian Haisheng Juice Hldg,1,chinhaishengju,1,China Haisheng Juice Holdings,China Haisheng Juice Holdings,CHINA HAISHENG JUICE HDG.,K:CHAJ,2005/11/4,32176C,HK359,KYG2111D1060
Hunan Nonferrous Metals Corp,2006/3/24,2005/6/18,CN000A0JDN21,2626,3339,Hunan Nonferrous Metals Corp,2,hnanonferrous,2,China Nonferrous Mining,China Nonferrous Mining,CHINA NONFERROUS MINING,K:CHNF,2012/6/29,87257U,HK1258,HK0000112026
China Agri-Inds Hldg Ltd,2007/3/15,2006/10/14,HK0606037437,606,2079,China Agri-Inds Hldg Ltd,0,chinaagri-inds,1,China Agri-Industries Holdings,China Agri-Industries Holdings,CHINA AGRI-INDS.HDG.,K:CAIH,2007/3/21,50268W,HK606,HK0606037437
New World Dept Store China Ltd,2007/7/5,2007/6/25,KYG650071098,825,5311,New World Dept Store China Ltd,3,newworlddept,3,New World Department Store China,New World Department Store China,NEW WLD.DEPT.STORE CHINA,K:NWDS,2007/7/12,50704D,HK825,KYG650071098
Alibaba.com Ltd,2007/10/26,2007/10/15,KYG017171003,1688,5961,Alibaba.com Ltd,1,alibabacom,0,Alibaba Com,Alibaba Com,ALIBABA.COM,K:ALIB,2007/11/6,51209F,HK1688,KYG017171003
Huafeng Textile Intl Grp Ltd,2007/11/5,2007/6/5,KR8136010004,364,2299,Huafeng Textile Intl Grp Ltd,3,afngtextile,3,Nan Fung Textile,Nan Fung Textile,NAN FUNG TEXTILE,929621,1973/1/1,929621,NA,NA
Lumena Resources Corp,2009/6/9,2009/6/1,KYG569761060,67,1474,Lumena Resources Corp,3,lenresources,3,Golden Resources Development International,Golden Resources Development International,GOLDEN RES.DEV.INTL.,K:GDEV,1991/1/28,539920,HK677,BMG3958B1046
