issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Sky Hawk Computer Grp Hldg Ltd,2002/1/15,2002/1/8,,1129,3577,Sky Hawk Computer Grp Hldg Ltd,7,shawoter,4,Shaw Brothers Holdings,Shaw Brothers Holdings,SHAW BROTHERS HDG.,K:MEI,2010/2/1,68666R,HK953,KYG8072W1087
Anhui Conch Cement Co Ltd,2002/1/22,2002/1/22,,914,3241,Anhui Conch Cement Co Ltd,6,hiconchen,6,China Conch Venture Holdings,China Conch Venture Holdings,CHINA CONCH VET.HOLDINGS,K:CCVH,2013/12/19,93804F,HK586,KYG2116J1085
VS International Group Ltd,2002/2/5,2002/1/31,,1002,3089,VS International Group Ltd,0,vs,13,Hong Kong Television Network,Hong Kong Television Network,HONG KONG TV.NET.,K:CTEL,1997/8/5,890993,HK1137,HK0000065349
First Natural Foods Holdings,2002/2/7,2002/1/30,,1076,2037,First Natural Foods Holdings,7,fisnatra,7,Feishang Anthracite Resources,Feishang Anthracite Resources,FEISHANG ANTHRACITE RES.,K:FSAT,2014/1/22,8702Q8,HK1738,VGG3375A1194
Hon Po Group(Lobster King)Ltd,2002/2/8,2002/1/31,,228,5812,Hon Po Group(Lobster King)Ltd,6,lobsterin,6,Global Mastermind Capital,Global Mastermind Capital,GLOBAL MASTERMIND CAP.,K:HAYW,1998/7/17,865737,HK905,BMG3932X1231
Moiselle Int'l Holdings Ltd,2002/2/8,2002/1/31,,130,2339,Moiselle Int'l Holdings Ltd,6,millints,4,Million Stars Holdings,Million Stars Holdings,MILLION STARS HDG.,K:ODEL,2015/2/12,9311W8,HK8093,KYG6129U1094
Sewco Intl Hldgs Ltd,2002/3/4,2002/2/22,,209,3942,Sewco Intl Hldgs Ltd,1,secos,10,China State Construction International Holdings,China State Construction International Holdings,CHINA STE.CON.INTL.HDG.,K:CSCI,2005/7/8,31216W,HK3311,KYG216771363
Yardway Group Ltd,2002/3/19,2002/3/19,,646,5088,Yardway Group Ltd,2,yarda,9,My Heart Bodibra Group,My Heart Bodibra Group,MY HEART BODIBRA GROUP,K:BDBR,2017/7/13,9014D4,HK8297,KYG6381M1006
Kenfair Intl(Hldgs)Ltd,2002/3/25,2002/3/25,,223,7389,Kenfair Intl(Hldgs)Ltd,2,enairs,9,Oriental University City Holdings Hong Kong,Oriental University City Holdings Hong Kong,ORIENTAL UVTY.CTY.HDG.HK,K:ARTZ,2015/1/16,9269CJ,HK8067,HK0000231891
Wang Sing Intl Holdings Group,2002/4/16,2002/4/16,,2389,5084,Wang Sing Intl Holdings Group,2,wngsing,7,Wong's Kong King International Holdings,Wong's Kong King International Holdings,WONG'S KONG KING INTHDG.,K:WKKH,1989/7/10,502484,HK532,BMG9737M1055
VST Holdings Ltd,2002/4/29,2002/4/29,,856,5734,VST Holdings Ltd,0,vsts,8,Vstecs Hedged,Vstecs Hedged,VSTECS HGD.,K:VST,2002/5/9,15484H,HK856,KYG9400C1116
