issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Dream International Ltd,2002/2/6,2002/1/29,,1126,3942,Dream International Ltd,0,dream,0,Dream International,Dream International,DREAM INTERNATIONAL,K:DREA,2002/2/7,15173F,HK1126,HK1126010854
Water Oasis Group Ltd,2002/2/27,2002/2/27,,1161,5999,Water Oasis Group Ltd,0,wateroasis,0,Water Oasis Group,Water Oasis Group,WATER OASIS GROUP,K:H2O,2002/3/11,15275N,HK1161,KYG9477E1070
Fu Cheong Intl Hldg Ltd,2002/3/25,2002/3/22,,916,3955,Fu Cheong Intl Hldg Ltd,0,fucheong,0,Fu Cheong International Holdings,Fu Cheong International Holdings,FU CHEONG INTL.HOLDINGS,K:FCHE,2002/3/27,15351X,NA,KYG3684E1098
Natural Beauty Bio-Tech Ltd,2002/3/26,2002/3/19,,157,2841,Natural Beauty Bio-Tech Ltd,0,naturalbeautybi,0,Natural Beauty Biotechnology,Natural Beauty Biotechnology,NATURAL BEAUTY BIOTECH.,K:NBBT,2002/3/28,15358J,HK157,KYG640061027
Greenfield Chemical Holdings,2002/4/26,2002/4/18,,582,5198,Greenfield Chemical Holdings,0,nfieldchemi,0,Manfield Chemical Holdings,Manfield Chemical Holdings,MANFIELD CHEMICAL HDG.,K:MACF,2015/12/1,8735AW,HK1561,NA
Sino Prosper Holdings Ltd,2002/4/30,2002/4/30,,766,1521,Sino Prosper Holdings Ltd,0,sinoprosper,0,Sino Prosper (Group) Holdings,Sino Prosper (Group) Holdings,SINO PSPR.(GROUP) HDG.,K:SPRO,2002/5/15,25508T,HK766,KYG8190S1122
Harbin Brewery Group Ltd,2002/6/21,2002/6/10,,249,2082,Harbin Brewery Group Ltd,0,harbinbrewery,0,Harbin Brewery Group,Harbin Brewery Group,HARBIN BREWERY GROUP,K:HBRE,2002/6/27,25704D,HK249,NA
Global Trend Intelligent Tech,2002/6/26,2002/6/18,,691,8742,Global Trend Intelligent Tech,0,globaltrendinte,0,Global Trend Intelligent Technologies,Global Trend Intelligent Technologies,GLB.TREND INTEL.TECHS.,K:GTIT,2002/6/28,25724V,NA,KYG393531002
BYD Co Ltd,2002/7/26,2002/7/22,CN0006617467,1211,3711,BYD Co Ltd,0,byd,0,Jnby Design,Jnby Design,JNBY DESIGN,K:JNBY,2016/10/31,2637YH,HK3306,KYG550441045
Inno-Tech Holdings Ltd,2002/7/30,2002/7/30,,8202,7373,Inno-Tech Holdings Ltd,0,inno-tech,0,Inno-Technology Holdings,Inno-Technology Holdings,INNO-TECH HOLDINGS,K:ITEC,2002/8/12,26098J,HK8202,BMG4782R2731
Sinotrans Ltd,2003/2/7,2003/1/23,CN0001729671,598,4512,Sinotrans Ltd,0,sinotrans,0,Sinotrans Shipping,Sinotrans Shipping,SINOTRANS SHIPPING,K:SINT,2007/11/23,51283T,HK368,HK0368041528
ChinaSoft International Ltd,2003/6/10,2003/6/10,,354,7372,ChinaSoft International Ltd,0,chinasoft,0,Chinasoft International,Chinasoft International,CHINASOFT INTERNATIONAL,K:CSFT,2003/6/20,27155W,HK354,KYG2110A1114
Bonjour Holdings Ltd,2003/7/9,2003/6/30,KYG123731096,653,5999,Bonjour Holdings Ltd,0,bonjour,0,Bonjour Holdings,Bonjour Holdings,BONJOUR HOLDINGS,K:BONJ,2003/7/16,27273V,HK653,KYG123731252
Comba Telecom Sys Hldg Ltd,2003/7/10,2003/6/30,,2342,3663,Comba Telecom Sys Hldg Ltd,0,combatelecomsys,0,Comba Telecom Systems Holdings,Comba Telecom Systems Holdings,COMBA TELECOM SYS.HDG.,K:COMB,2003/7/15,27260X,HK2342,KYG229721140
Leeport(Holdings)Ltd,2003/7/10,2003/6/27,BMG542851040,387,3569,Leeport(Holdings)Ltd,0,leeport,0,Leeport (Holdings),Leeport (Holdings),LEEPORT (HOLDINGS),K:LPRT,2003/7/10,27251H,HK387,BMG542851040
Dawnrays Pharmaceutical Ltd,2003/7/11,2003/6/30,KYG2687M1006,2348,2834,Dawnrays Pharmaceutical Ltd,0,dawnrayspharmac,0,Dawnrays Pharmaceutical (Holdings),Dawnrays Pharmaceutical (Holdings),DAWNRAYS PHARM.(HDG.),K:DWNP,2003/7/11,27257L,HK2348,KYG2687M1006
Hopewell Highway,2003/7/31,2003/7/14,,737,1611,Hopewell Highway,0,hopewellhighway,0,Hopewell Highway Infrastructure,Hopewell Highway Infrastructure,HOPEWELL HGHWY.INFR.,K:HOWL,2003/8/6,27337M,HK737,KYG459951003
Hop Fung Group Holdings Ltd,2003/9/15,2003/9/15,,2320,2679,Hop Fung Group Holdings Ltd,0,hopfung,0,Hop Fung Group Holdings,Hop Fung Group Holdings,HOP FUNG GROUP HDG.,K:HPFG,2003/9/24,27623E,HK2320,KYG459991025
AviChina Ind & Tech Co Ltd,2003/10/25,2003/1/11,,2357,3721,AviChina Ind & Tech Co Ltd,0,chinaind,0,China Industrial Securities International,China Industrial Securities International,CHINA INDL.SECS.INTL.,K:CISI,2016/10/20,2625M3,HK8407,KYG212101029
Chia Hsin Cement Greater China,2003/12/2,2003/12/2,,699,3241,Chia Hsin Cement Greater China,0,chiahsincementg,0,Chia Hsin Cement Greater China,Chia Hsin Cement Greater China,CHIA HSIN CMT.GTR.CHINA,K:CHIA,2003/12/12,28208J,UG2099610,KYG209961070
China Oriental Group Co Ltd,2004/2/23,2004/2/9,BMG2108V1019,581,3316,China Oriental Group Co Ltd,0,chinaoriental,0,China Oriental Group,China Oriental Group,CHINA ORIENTAL GROUP,K:CHOR,2004/3/2,28534W,HK581,BMG2108V1019
China Resources Peoples Tele,2004/3/29,2004/2/28,,331,4812,China Resources Peoples Tele,0,chinaresourcesp,0,China Resources Power Holdings,China Resources Power Holdings,CHINA RES.POWER HDG.,K:CREP,2003/11/12,27962U,HK836,HK0836012952
AMS Public Transport Hldgs Ltd,2004/3/30,2004/3/30,,77,4119,AMS Public Transport Hldgs Ltd,0,amspublictransp,0,AMS Public Transport Holdings,AMS Public Transport Holdings,AMS PUBLIC TRAN.HDG.,K:AMS,2004/4/15,28833W,HK77,KYG041561088
Solomon Systech(Intl)Ltd,2004/3/31,2004/2/28,,2878,3674,Solomon Systech(Intl)Ltd,0,solomonsystech,0,Solomon Systech (International),Solomon Systech (International),SOLOMON SYSTECH (INTL.),K:SOLO,2004/4/8,28795F,HK2878,KYG826051099
Lifestyle Intl Hldgs Ltd,2004/4/8,2004/1/17,KYG548561029,1212,5311,Lifestyle Intl Hldgs Ltd,0,lifestyle,0,Lifestyle International Holdings,Lifestyle International Holdings,LIFESTYLE INTL.HDG.,K:LIFS,2004/4/15,28798E,HK1212,KYG548561284
China Mengniu Dairy Co Ltd,2004/6/5,2004/5/17,KYG210961051,2319,2026,China Mengniu Dairy Co Ltd,0,chinamengniudai,0,China Mengniu Dairy,China Mengniu Dairy,CHINA MENGNIU DAIRY,K:MNDA,2004/6/10,29042F,HK2319,KYG210961051
Tencent Holdings Ltd,2004/6/10,2004/5/31,KYG875721063,700,7375,Tencent Holdings Ltd,0,tencent,0,Tencent Holdings,Tencent Holdings,TENCENT HOLDINGS,K:TCNT,2004/6/16,29061M,HK700,KYG875721634
Li Ning Co Ltd,2004/6/19,2004/6/11,KYG5496K1085,2331,3949,Li Ning Co Ltd,0,lining,0,Li Ning,Li Ning,LI NING,K:LNIN,2004/6/28,29101D,HK2331,KYG5496K1242
Pacific Basin Shipping Ltd,2004/7/8,2004/6/14,,2343,4499,Pacific Basin Shipping Ltd,0,pacificbasinshi,0,Pacific Basin Shipping,Pacific Basin Shipping,PACIFIC BASIN SHIP.,K:PBSH,2004/7/14,29168W,HK2343,BMG684371393
Luen Thai Holdings Ltd,2004/7/9,2004/6/30,KYG5697P1046,311,2331,Luen Thai Holdings Ltd,0,luenthai,0,Luen Thai Holdings,Luen Thai Holdings,LUEN THAI HOLDINGS,K:LTHA,2004/7/15,29168X,HK311,KYG5697P1046
Zhongtian International Ltd,2004/9/15,2004/9/10,KYG989151041,2379,7373,Zhongtian International Ltd,0,zhongtian,0,Zhongtian International,Zhongtian International,ZHONGTIAN INTERNATIONAL,K:ZTIN,2004/9/22,29515H,HK2379,KYG989151207
Kam Hing Intl Hldg Ltd,2004/9/18,2004/9/14,,2307,2299,Kam Hing Intl Hldg Ltd,0,kamhing,0,Kam Hing International Holdings,Kam Hing International Holdings,KAM HING INTL.HDG.,K:KAMH,2004/9/23,29547W,HK2307,KYG5213T1013
China Shineway Pharm Grp Ltd,2004/11/27,2004/11/15,,2877,2834,China Shineway Pharm Grp Ltd,0,chinashinewayph,0,China Shineway Pharmaceutical Group,China Shineway Pharmaceutical Group,CHINA SHINEWAY PHARM.GP.,K:CSPG,2004/12/2,298293,HK2877,KYG2110P1000
Texhong Textile Group Ltd,2004/11/30,2004/11/30,,2678,2211,Texhong Textile Group Ltd,0,texhongtextile,0,Texhong Textile Group,Texhong Textile Group,TEXHONG TEXTILE GP.,K:TTGL,2004/12/9,29874E,HK2678,KYG876551170
Air China Ltd,2004/12/9,2004/11/25,CN000A0DNWD6,753,4512,Air China Ltd,0,air,0,Hong Kong Aircraft Engineering,Hong Kong Aircraft Engineering,HONG KONG AIRCRAFT ENGR.,K:HKAC,1973/1/1,929711,HK44,HK0044000302
Beijing Media Corp Ltd,2004/12/17,2004/12/10,CN000A0DN2F0,1000,2731,Beijing Media Corp Ltd,0,beijingmedia,0,Beijing Media 'H',Beijing Media 'H',BEIJING MEDIA 'H',54223E,2008/10/21,54223E,NA,NA
Dynasty Fine Wines Group Ltd,2005/1/21,2005/1/17,KYG2950W1087,828,2084,Dynasty Fine Wines Group Ltd,0,dynastyfinewine,0,Dynasty Fine Wines Group,Dynasty Fine Wines Group,DYNASTY FINE WINES GP.,K:DFWG,2005/1/26,29941E,HK828,KYG2950W1087
Xinyi Glass Holdings Ltd,2005/1/28,2005/1/24,KYG9828G1082,868,3231,Xinyi Glass Holdings Ltd,0,xinyiglass,0,Xinyi Glass Holdings,Xinyi Glass Holdings,XINYI GLASS HOLDINGS,K:XINY,2005/2/3,30185X,HK868,KYG9828G1082
New Focus Auto Tech Holdings,2005/2/23,2005/2/17,KYG645451090,360,3711,New Focus Auto Tech Holdings,0,newfocusauto,0,New Focus Auto Technology Holdings,New Focus Auto Technology Holdings,NEW FOCUS AUTO TECH HDG.,K:NFOC,2005/2/28,30342X,HK360,KYG645451090
Shanghai Elec Grp Co Ltd,2005/4/27,2005/4/18,CN000A0EABT1,2727,3568,Shanghai Elec Grp Co Ltd,0,shanghaielec,0,Shanghai Electric Group Company,Shanghai Electric Group Company,SHANGHAI ELECTRIC GP.CO.,32497P,2005/12/6,32497P,NA,NA
EVA Precision Ind Hldg Ltd,2005/5/5,2005/4/29,KYG321481015,838,3542,EVA Precision Ind Hldg Ltd,0,evaprecisionind,0,Eva Precision Industrial Holdings,Eva Precision Industrial Holdings,EVA PRECISION INDL.HDG.,K:EVAP,2005/5/11,30906K,HK838,KYG321481015
Sandmartin Intl Hldg Ltd,2005/5/5,2005/4/28,BMG780521008,482,3679,Sandmartin Intl Hldg Ltd,0,sandmartin,0,Sandmartin International Holdings,Sandmartin International Holdings,SANDMARTIN INTL.HOLDINGS,K:SAND,2005/5/12,30906J,HK482,BMG780521008
Bauhaus Intl(Hldg)Ltd,2005/5/6,2005/4/29,KYG1080K1094,483,5699,Bauhaus Intl(Hldg)Ltd,0,bauhaus,0,Bauhaus International Holdings,Bauhaus International Holdings,BAUHAUS INTL.HDG.,K:BAUH,2005/5/12,30906L,HK483,KYG1080K1094
Kenford Group Holdings Ltd,2005/6/6,2005/5/31,KYG523301003,464,3634,Kenford Group Holdings Ltd,0,kenford,0,Kenford Group Holdings,Kenford Group Holdings,KENFORD GROUP HOLDINGS,K:KENG,2005/6/16,30976T,HK464,KYG523301003
China Glass Holdings Ltd,2005/6/17,2005/6/13,BMG2111H1079,3300,3211,China Glass Holdings Ltd,0,chinaglass,0,China Glass Holdings,China Glass Holdings,CHINA GLASS HOLDINGS,K:CHGL,2005/6/23,31203P,HK3300,BMG2111H1236
Jolimark Holdings Ltd,2005/6/23,2005/6/20,KYG516941005,2028,3679,Jolimark Holdings Ltd,0,jolimark,0,Jolimark Holdings,Jolimark Holdings,JOLIMARK HOLDINGS,K:JOLI,2005/6/29,31254P,HK2028,KYG516941005
China COSCO Holdings Co Ltd,2005/6/25,2005/6/20,CN000A0ERWH6,1919,4412,China COSCO Holdings Co Ltd,0,chinacosco,0,China Cosco Holdings Company,China Cosco Holdings Company,CHINA COSCO HOLDINGS CO.,32497T,2005/12/6,32497T,NA,NA
Alltronics Holdings Ltd,2005/7/15,2005/6/30,KYG022791266,833,3679,Alltronics Holdings Ltd,0,alltronics,0,Alltronics Holdings,Alltronics Holdings,ALLTRONICS HOLDINGS,K:ALLT,2005/7/15,31294M,HK833,KYG022791266
Sinochem Hong Kong Hldg Ltd,2005/7/21,2005/7/13,BMG8165Y1286,297,5191,Sinochem Hong Kong Hldg Ltd,0,sinochem,0,Sinochem Hong Kong Holdings,Sinochem Hong Kong Holdings,SINOCHEM HONG KONG HDG.,41203E,2006/9/15,41203E,NA,NA
Hong Kong Economic Times,2005/7/28,2005/7/22,KYG4587A1031,423,2731,Hong Kong Economic Times,0,hongkongeconomi,0,Hong Kong Economic Times,Hong Kong Economic Times,HONG KONG ECON.TIMES,K:HECO,2005/8/3,31421C,HK423,KYG4587A1031
China Yurun Food Group Ltd,2005/9/23,2005/9/3,BMG211591018,1068,2011,China Yurun Food Group Ltd,0,chinayurunfood,0,China Yurun Food Group,China Yurun Food Group,CHINA YURUN FOOD GROUP,K:CYUR,2005/10/3,31898D,HK1068,BMG211591018
Hengdeli Holdings Ltd,2005/9/23,2005/9/14,KYG450481083,3389,5094,Hengdeli Holdings Ltd,0,hengdeli,0,Hengdeli Holdings,Hengdeli Holdings,HENGDELI HOLDINGS,K:XHEN,2005/9/26,31764Q,HK3389,KYG450481083
AddChance Holdings Ltd,2005/10/5,2005/9/23,KYG0108P1081,3344,2299,AddChance Holdings Ltd,0,addchance,0,Addchance Holdings,Addchance Holdings,ADDCHANCE HOLDINGS,K:ADDC,2005/10/5,31923V,HK3344,KYG0108Q1064
China Paradise Electrn Retail,2005/10/7,2005/9/9,KYG215751085,503,5722,China Paradise Electrn Retail,0,chinaparadiseel,0,China Paradise Electronics Retail,China Paradise Electronics Retail,CHINA PARADISE ELTN.RET.,K:CPAR,2005/10/14,31966U,NA,KYG215751085
Sincere Watch(Hong Kong)Ltd,2005/10/12,2005/9/30,KYG814791003,444,5094,Sincere Watch(Hong Kong)Ltd,0,sincerewatch,0,Sincere Watch (Hong Kong),Sincere Watch (Hong Kong),SINCERE WATCH (HK.),K:SINW,2005/10/17,31949V,HK444,KYG814791268
One Media Group Ltd,2005/10/12,2005/9/30,KYG6752K1058,426,2721,One Media Group Ltd,0,onemedia,0,One Media Group,One Media Group,ONE MEDIA GROUP,K:OMG,2005/10/18,31749M,HK426,KYG6752K1058
Tradelink Electn Commerce Ltd,2005/10/21,2005/10/18,HK0536032532,536,7375,Tradelink Electn Commerce Ltd,0,tradelinkelect,0,Tradelink Electronic Commerce,Tradelink Electronic Commerce,TRADELINK ELT.COM.,K:TLEC,2005/10/28,32111P,HK536,HK0536032532
Ju Teng Intl Hldg Ltd,2005/10/29,2005/10/25,KYG521051063,3336,3577,Ju Teng Intl Hldg Ltd,0,juteng,0,Ju Teng International Holdings,Ju Teng International Holdings,JU TENG INTL.HDG.,K:JUTE,2005/11/3,32176D,HK3336,KYG521051063
Shenzhou International Group,2005/11/10,2005/11/8,KYG8087W1015,2313,2253,Shenzhou International Group,0,shenzhou,0,Shenzhou International Group Holdings,Shenzhou International Group Holdings,SHENZHOU INTL.GP.HDG.,K:SZIN,2005/11/24,32307F,HK2313,KYG8087W1015
China Infrastructure Machinery,2005/11/11,2005/11/7,KYG2111M1069,3339,3531,China Infrastructure Machinery,0,chinainfrastruc,0,China Infrastructure Invesment,China Infrastructure Invesment,CHINA INFR.INVESMENT,K:DAWA,1993/10/5,317765,HK600,KYG2112P1081
Samson Holding Ltd,2005/11/11,2005/11/7,KYG7783W1006,531,2511,Samson Holding Ltd,0,samson,0,Samsonite International,Samsonite International,SAMSONITE INTERNATIONAL,K:SAM,2011/6/16,77218J,HK1910,LU0633102719
Parkson Retail Group Ltd,2005/11/23,2005/11/14,KYG693701073,3368,5999,Parkson Retail Group Ltd,0,parksonretail,0,Parkson Retail Group,Parkson Retail Group,PARKSON RETAIL GROUP,K:PARK,2005/11/30,32344U,HK3368,KYG693701156
Minth Group Ltd,2005/11/28,2005/11/6,KYG6145U1094,425,3711,Minth Group Ltd,0,minth,0,Minth Group,Minth Group,MINTH GROUP,K:MINT,2005/12/1,32361L,HK425,KYG6145U1094
