Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE,BOURSE NAME
BOC HONG KONG (HDG.),K:BOC,2002/7/25,2002,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Banks,BOC Hong Kong (Holdings),Active,26030V,HK2388,HK2388011192,Hong Kong
HONG KONG EXS.& CLEAR.,K:HKEX,2000/6/27,2000,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Hong Kong Exchanges and Clearing,Active,280037,HK388,HK0388045442,Hong Kong
CHINA UNICOM (HONG KONG),K:UNIC,2000/6/22,2000,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Mobile Telecommunications,China Unicom (Hong Kong),Active,280949,HK762,HK0000049939,Hong Kong
HONG KONG AND CHINA GAS,K:HKCG,1973/1/1,1973,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,"Gas, Water and Multiutilities",Hong Kong and China Gas,Active,929610,HK3,HK0003000038,Hong Kong
GENTING HONG KONG,K:STC,2000/11/30,2000,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Travel and Leisure,Genting Hong Kong,Active,292807,HK678,BMG3924T1062,Hong Kong
GREENLAND HONG KONG HOLD S,K:SPGL,2006/10/10,2006,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Greenland Hong Kong Hold S,Active,41227T,HK337,KYG4587S1049,Hong Kong
HK ELECTRIC INVESTMENTS,K:HKEK,2014/1/29,2014,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Electricity,Hong Kong Electric Investments,Active,8731WA,HK2638,HK0000179108,Hong Kong
HONG KONG AIRCRAFT ENGR.,K:HKAC,1973/1/1,1973,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Transportation,Hong Kong Aircraft Engineering,Active,929711,HK44,HK0044000302,Hong Kong
HONG KONG INTL.CON.INV. MAN.GP.,K:CHEE,1991/3/26,1991,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Hong Kong International Construction Investment Management Group,Active,530612,HK687,BMG4643K1036,Hong Kong
CEFE HONG KONG FINANCIAL INV,K:RGHO,2013/12/3,2013,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,Cefe Hong Kong Financial INV,Active,93649G,HK1520,KYG1993C1033,Hong Kong
HONG KONG BLDG.& LN.AG.,K:BDLN,1988/6/1,1988,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Hong Kong Building and Loan Agency,Active,952250,HK145,HK0000134079,Hong Kong
HONG KONG CHINESE,K:HKCB,1992/10/12,1992,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Hong Kong Chinese,Active,316255,HK655,BMG4586T1036,Hong Kong
HONG KONG ECON.TIMES,K:HECO,2005/8/3,2005,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Media,Hong Kong Economic Times,Active,31421C,HK423,KYG4587A1031,Hong Kong
HONG KONG ED.(INTL.) INVS.,K:MEGL,2011/7/4,2011,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Retailers,Hong Kong Education (International) Investments,Active,77291J,HK1082,BMG4588S1456,Hong Kong
HONG KONG FERRY HDG.,K:HYFE,1973/1/1,1973,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Hong Kong Ferry Holdings,Active,951885,HK50,HK0050000345,Hong Kong
HONG KONG FINANCE GROUP,K:HKFG,2013/10/2,2013,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Hong Kong Finance Group,Active,90232N,HK1273,KYG4643B1032,Hong Kong
HONG KONG FOOD INV.HDG.,K:YOAH,1992/12/16,1992,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Food Producers,Hong Kong Food Investment Holdings,Active,316514,HK60,HK0060028229,Hong Kong
HONG KONG LFSE.&.TECHS. GROUP,K:NCMD,2002/3/7,2002,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Pharmaceuticals and Biotechnology,Hong Kong Lfse and Technologies Group,Active,15256J,HK8085,KYG4642K1040,Hong Kong
HONG KONG RESOURCES HDG.,K:OGC,2003/6/30,2003,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,Hong Kong Resources Holdings,Active,27215M,HK2882,BMG7155A1080,Hong Kong
HONG KONG SHAI.ALL.HDG.,K:VANS,1994/2/18,1994,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Metals and Mining,Hong Kong Shanghai Alliance Holdings,Active,362074,HK1001,BMG8000T1027,Hong Kong
HONG KONG TV.NET.,K:CTEL,1997/8/5,1997,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Fixed Line Telecommunications,Hong Kong Television Network,Active,890993,HK1137,HK0000065349,Hong Kong
LOCO HONG KONG HOLDINGS,K:LOCO,2014/8/5,2014,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Metals and Mining,Loco Hong Kong Holdings,Active,89546T,HK8162,HK0000207610,Hong Kong
AEON STORES (HONG KONG),K:JUSC,1994/2/4,1994,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Retailers,Aeon Stores (Hong Kong),Active,362026,HK984,HK0000084183,Hong Kong
LAM SOON (HONG KONG),K:LAMS,1988/6/1,1988,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Food Producers,Lam Soon (Hong Kong),Active,938645,HK411,HK0411006957,Hong Kong
NEW CENTURY GP.HONG KONG,K:MULT,1988/6/1,1988,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Travel and Leisure,New Century Group Hong Kong,Active,771544,HK234,BMG644581396,Hong Kong
