Idate,Fdate,issuer,Business,SIC,hightec,state,nation,ticker,exchange,industry,bookrunner,managers,grosspread,managementfee,underfee,concession,reallowance,grossspreadP,managementfeeP,underfeeP,concessionP,reallowanceP,grossspreadmkt,principal,principalmkt,proceeds,proceedsmkt,p0,type,description,currency,marketplace,Pexchange,Ph,PL,Pm,sharesF,shareFmkt,amt,Tdamt,IPOflag,shares,Pshares,Sshares,sharesmkt,P_1,P1,spinoff,ownershipB,OwnershipA,Lexchange,ISIN,maintranche,foreignflag,ApsharesFSM,ApsharesF,PsharesFSM,PsharesFM,PsharesOSM,PsharesOM,country,IPO_number,Main_market,year,pshare1,sic1,S1,s2
2002/1/15,2002/1/8,Sky Hawk Computer Grp Hldg Ltd,"Mnfr,whl computer peripherals",                          3577,"Monitors/Terminals
CD Rom Driv",Foreign,Hong Kong,1129,Hong Kong,Manufacturing,POLARI,Polaris Securities (Hong Kong),.002,Comb.,Comb.,,,3.000,Comb.,Comb.,,,.221,                             6,                             6,                             6,                             6,.500,Ord/Common Shs.,"100,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"100,000,000","100,000,000",,                     100000000,.218,.095,,,,HONGK,,Y,No,,,,,"100,000,000","100,000,000",Hong Kong,607,1,2002,100000000,3577,3,35
2002/1/22,2002/1/22,Anhui Conch Cement Co Ltd,"Mnfr,whl cement",                          3241,Primary Business not Hi-Tech,Foreign,China,0914,Hong Kong,Manufacturing,CHINA-SOUTHERN,"China Southern Securities Co
B",na,,,,,na,,,,,,                            99,                            99,                            99,                            99,4.100,Class A Ord Shs,"200,000,000.0 Class A Ord Shs",CY,China Public,SHANG,,,,,,,,Yes,"200,000,000","200,000,000",,                     200000000,3.79,,,,,SHANG,,Y,No,,,,,"200,000,000","200,000,000",Hong Kong,607,1,2002,200000000,3241,3,32
2002/2/5,2002/1/31,VS International Group Ltd,"Mnfr,whl plastic molded prod",                          3089,"Printers
CD Rom Drives
Monitor",Foreign,Hong Kong,1002,Hong Kong,Manufacturing,DBS-ASIA,"DBS Asia Capital Ltd
Standard",.001,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.303,                            11,                            11,                            11,                            11,.430,Ord/Common Shs.,"200,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"200,000,000","180,000,000","20,000,000",                     200000000,.047,.059,,,,HONGK,,Y,No,,,,,"180,000,000","180,000,000",Hong Kong,607,1,2002,180000000,3089,3,30
2002/2/6,2002/1/29,Dream International Ltd,"Mnfr,whl plush stuffed toys",                          3942,Primary Business not Hi-Tech,Foreign,Hong Kong,1126,Hong Kong,Manufacturing,"WATTERSON-ASIA
/DAEWOO(JB)","Watterson Asia Ltd
Daewoo Secu",.004,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.619,                            25,                            25,                            25,                            25,1.200,Ord/Common Shs.,"160,875,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"160,875,000","160,875,000",,                     160875000,.405,.141,,,,HONGK,,Y,No,,,,,"160,875,000","160,875,000",Hong Kong,607,1,2002,160875000,3942,3,39
2002/2/7,2002/1/30,First Natural Foods Holdings,"Produce,wholesale frozen food",                          2037,Primary Business not Hi-Tech,Foreign,Hong Kong,1076,Hong Kong,Manufacturing,"SUN-HUNG-INTL
/JSCRESV(JB)",Sun Hung Kai International Ltd,na,,,,,na,,,,,,                            19,                            19,                            19,                            19,.730,Ord/Common Shs.,"200,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"200,000,000","200,000,000",,                     200000000,.016,.09,,,,HONGK,,Y,No,,,,,"200,000,000","200,000,000",Hong Kong,607,1,2002,200000000,2037,2,20
2002/2/8,2002/1/31,Hon Po Group(Lobster King)Ltd,"Own,op restaurants",                          5812,Primary Business not Hi-Tech,Foreign,Hong Kong,228,Hong Kong,Restaurant/Hotel,KINGST,"Kingston Securities Limited
St",.001,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.160,                             6,                             6,                             6,                             6,.200,Ord/Common Shs.,"250,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"250,000,000","175,000,000","75,000,000",                     250000000,.012,.024,,,,HONGK,,Y,No,,,,,"175,000,000","175,000,000",Hong Kong,607,1,2002,175000000,5812,5,58
2002/2/8,2002/1/31,Moiselle Int'l Holdings Ltd,Mnfr women's apparel,                          2339,Primary Business not Hi-Tech,Foreign,Hong Kong,130,Hong Kong,Manufacturing,DAO-HENG-SEC,"Dao Heng Securities
Standard C",.003,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.222,                             9,                             9,                             9,                             9,1.000,Ord/Common Shs.,"69,300,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"69,300,000","69,300,000",,                      69300000,.182,.163,,,,HONGK,,Y,No,,,,,"69,300,000","69,300,000",Hong Kong,607,1,2002,69300000,2339,2,23
2002/2/27,2002/2/27,Water Oasis Group Ltd,"Whl,ret skin care prod",                          5999,Primary Business not Hi-Tech,Foreign,Hong Kong,1161,Hong Kong,Retail,EMPER/ANGLO-CHINESE(JB),"Emperor Securities Ltd
Anglo C",.003,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.274,                            11,                            11,                            11,                            11,1.080,Ord/Common Shs.,"79,152,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"79,152,000","54,672,000","24,480,000",                      79152000,.133,,,,,HONGK,,Y,No,,,,,"54,672,000","54,672,000",Hong Kong,607,1,2002,54672000,5999,5,59
2002/3/4,2002/2/22,Sewco Intl Hldgs Ltd,"Mnfr,whl toys",                          3942,Primary Business not Hi-Tech,Foreign,Hong Kong,209,Hong Kong,Manufacturing,FIRST-SHANG-SEC,"First Shanghai Sec Ltd
Bank of",.002,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.175,                             7,                             7,                             7,                             7,.550,Ord/Common Shs.,"99,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"99,000,000","79,000,000","20,000,000",                      99000000,.014,.078,,,,HONGK,,Y,No,,,,,"79,000,000","79,000,000",Hong Kong,607,1,2002,79000000,3942,3,39
2002/3/19,2002/3/19,Yardway Group Ltd,"Mnfr,whl transp equip",                          5088,Primary Business not Hi-Tech,Foreign,Hong Kong,646,Hong Kong,Wholesale,DAO-HENG-SEC,"Dao Heng Securities
Standard C",.002,Comb.,Comb.,,,2.500,Comb.,Comb.,,,.160,                             6,                             6,                             6,                             6,.500,Ord/Common Shs.,"100,000,000.0 Ord/Common Shs.",HK,Hong Kong Public,HONGK,,,,,,,,Yes,"100,000,000","10,000,000","90,000,000",                     100000000,.022,.063,,,,HONGK,,Y,No,,,,,"10,000,000","10,000,000",Hong Kong,607,1,2002,10000000,5088,5,50
